ModelID,ProfileID,ProfileType
ACH-000803,PR-vsDdwO,rna
ACH-000803,PR-RlqMkp,dna
ACH-002693,PR-anqrOi,rna
ACH-002693,PR-UVMHi9,dna
ACH-002286,PR-gtCMcX,dna
ACH-000801,PR-DmI6kN,rna
ACH-000801,PR-sMfxzR,dna
ACH-001650,PR-dIz8jG,rna
ACH-001650,PR-6qUWnX,dna
ACH-001630,PR-im7HbL,rna
ACH-001630,PR-8jyfpV,dna
ACH-001063,PR-v6oVnD,dna
ACH-002221,PR-rdwJ5O,dna
ACH-002020,PR-yoOCur,rna
ACH-002020,PR-nSOT6p,dna
ACH-002397,PR-WdDv1i,dna
ACH-000712,PR-wQ50pI,rna
ACH-000712,PR-uNZMrD,dna
ACH-002336,PR-zW4f56,dna
ACH-002023,PR-I3QLzA,rna
ACH-002023,PR-1ExPUw,dna
ACH-000110,PR-XVEy74,rna
ACH-000110,PR-pHYEPj,dna
ACH-000403,PR-1WZfVC,rna
ACH-000403,PR-OqdVQy,dna
ACH-002242,PR-SnpeaT,dna
ACH-001203,PR-g3kS9D,dna
ACH-002155,PR-O92s3k,dna
ACH-002120,PR-ydc9mn,dna
ACH-000883,PR-1og6pR,rna
ACH-000883,PR-MKQZdU,dna
ACH-000949,PR-AlS5Yl,rna
ACH-000949,PR-cpo7Iu,dna
ACH-002108,PR-jp8FU0,dna
ACH-000461,PR-7WaDe1,rna
ACH-000461,PR-6cgjNw,dna
ACH-000881,PR-5edXPt,rna
ACH-000881,PR-o1Zpln,dna
ACH-002059,PR-AQRNOz,rna
ACH-002059,PR-LzFWUL,dna
ACH-002263,PR-Ogq8Lr,dna
ACH-000907,PR-OlDHWy,rna
ACH-000907,PR-P0Rp9C,dna
ACH-000889,PR-csUOGC,rna
ACH-000889,PR-tWQFtj,dna
ACH-000155,PR-IYwmYC,rna
ACH-000155,PR-75rvpO,dna
ACH-000654,PR-lujcxW,rna
ACH-000654,PR-8th2sV,dna
ACH-001278,PR-KdzdLk,rna
ACH-001278,PR-1TpRzd,dna
ACH-002171,PR-jSG90W,dna
ACH-002251,PR-X5mbcD,dna
ACH-000680,PR-T4iJnH,rna
ACH-000680,PR-bpXeZh,dna
ACH-000557,PR-JoSIPF,rna
ACH-000557,PR-hz54pd,dna
ACH-000796,PR-lbGO9F,rna
ACH-000796,PR-zyM15A,dna
ACH-000202,PR-inRQ5c,rna
ACH-000202,PR-ykAWhq,dna
ACH-000501,PR-FrTsTb,rna
ACH-000501,PR-qqdlfv,dna
ACH-002367,PR-NqIlBM,dna
ACH-000177,PR-VS2HIo,rna
ACH-000177,PR-QEFNJs,dna
ACH-000260,PR-vCqYG0,rna
ACH-000260,PR-6sBBEB,dna
ACH-000970,PR-A2ss8C,rna
ACH-000970,PR-nMNcVs,dna
ACH-001484,PR-7Y9PuW,rna
ACH-001484,PR-eEUZcy,dna
ACH-000667,PR-IWyF8Y,rna
ACH-000667,PR-3cEXAx,dna
ACH-002744,PR-eFM8Gz,rna
ACH-002744,PR-tXAsQK,dna
ACH-001850,PR-z6h4G5,rna
ACH-001850,PR-RBrfAT,dna
ACH-002267,PR-c9OVYZ,dna
ACH-000655,PR-7nSGqD,rna
ACH-000655,PR-kuCd2G,dna
ACH-001712,PR-csMEgu,rna
ACH-000005,PR-y0OM3W,rna
ACH-000005,PR-ZMEDE0,dna
ACH-000409,PR-ZBzAIP,rna
ACH-000409,PR-T5Bs3L,dna
ACH-000591,PR-Bdy0p3,rna
ACH-000591,PR-a8EG9o,dna
ACH-002105,PR-cEu8oY,dna
ACH-001578,PR-MECfqO,rna
ACH-001578,PR-GI0vZ5,dna
ACH-000196,PR-Hv4nuW,rna
ACH-000196,PR-k5CObx,dna
ACH-000281,PR-Z2Mw8p,rna
ACH-000281,PR-KxMRtA,dna
ACH-000204,PR-tcVISB,rna
ACH-000204,PR-YBkTES,dna
ACH-002141,PR-1ip1tY,dna
ACH-000200,PR-KKo7wL,rna
ACH-000200,PR-JtY4aG,dna
ACH-000135,PR-EBJGGt,rna
ACH-000135,PR-yZCCrM,dna
ACH-000481,PR-oxG0N4,rna
ACH-000481,PR-R8t2N2,dna
ACH-000652,PR-RQbFEw,rna
ACH-000652,PR-vYAqGj,dna
ACH-000914,PR-wARViT,rna
ACH-000914,PR-thY0Ic,dna
ACH-001543,PR-BYfZvl,rna
ACH-001543,PR-wCP4NG,dna
ACH-000430,PR-7cBpp8,rna
ACH-000430,PR-ylNx7D,dna
ACH-001526,PR-gKk8nO,rna
ACH-001526,PR-LTKHUp,dna
ACH-000346,PR-8crwgT,rna
ACH-000346,PR-mFjyo0,dna
ACH-002232,PR-fDxTMr,dna
ACH-002317,PR-QyHIkX,dna
ACH-001229,PR-gSa2xM,rna
ACH-001229,PR-Mwdycl,dna
ACH-000637,PR-3H2lE3,rna
ACH-000637,PR-w9FGAF,dna
ACH-000722,PR-oxqJIi,rna
ACH-000722,PR-7W600z,dna
ACH-000338,PR-kS7v17,rna
ACH-000338,PR-hK64QW,dna
ACH-001096,PR-Z0WoJP,rna
ACH-001096,PR-bVxUlh,dna
ACH-000675,PR-eumaai,rna
ACH-000675,PR-ZomkXl,dna
ACH-001162,PR-hceF11,dna
ACH-000107,PR-NYv75L,rna
ACH-000107,PR-k4hRnW,dna
ACH-000900,PR-idtmVT,rna
ACH-000900,PR-voYF6y,dna
ACH-000482,PR-1vrwZu,rna
ACH-000482,PR-QHtzJK,dna
ACH-000080,PR-24IFcm,rna
ACH-000080,PR-MQO7wZ,dna
ACH-000081,PR-Is4I21,rna
ACH-000081,PR-ngot7H,dna
ACH-000015,PR-NFoaZH,rna
ACH-000015,PR-l6NjDm,dna
ACH-001675,PR-P9a7Du,dna
ACH-000913,PR-gUMdHg,rna
ACH-000913,PR-wkUwt1,dna
ACH-001736,PR-dxD5wB,rna
ACH-001736,PR-uERIsp,dna
ACH-000284,PR-J3Er5E,rna
ACH-000284,PR-UjQ0Q2,dna
ACH-000711,PR-TQalP0,rna
ACH-000711,PR-H0niDs,dna
ACH-002129,PR-9NqR7V,dna
ACH-000979,PR-FSCKC9,dna
ACH-001183,PR-OCMaJe,rna
ACH-001183,PR-oiSGnn,dna
ACH-000944,PR-o718hY,rna
ACH-000944,PR-T3ZngO,dna
ACH-000060,PR-vsarxl,rna
ACH-000060,PR-d145Wa,dna
ACH-002229,PR-tILCVb,dna
ACH-001795,PR-0Zt9XK,rna
ACH-001795,PR-L7L0jx,dna
ACH-000933,PR-RMd59q,rna
ACH-000933,PR-hhpPii,dna
ACH-000651,PR-mR7AGS,rna
ACH-000651,PR-7mGBFZ,dna
ACH-000212,PR-3yfy2J,rna
ACH-000212,PR-a2Kg84,dna
ACH-000863,PR-iRyHOd,rna
ACH-000863,PR-VLStra,dna
ACH-000437,PR-K0RrWv,rna
ACH-000437,PR-hZ1B6p,dna
ACH-000840,PR-7YMowa,rna
ACH-000840,PR-6134Do,dna
ACH-000470,PR-aP10Te,rna
ACH-000470,PR-3lN258,dna
ACH-000423,PR-v3Os2O,rna
ACH-000423,PR-cI75AX,dna
ACH-000947,PR-ypIXHT,rna
ACH-000947,PR-egJh3A,dna
ACH-002950,PR-7EbAgW,rna
ACH-002950,PR-jaQrVJ,dna
ACH-001656,PR-F9oF6w,rna
ACH-001656,PR-8Z4m6i,dna
ACH-000965,PR-ml5T9H,rna
ACH-000965,PR-GYB91T,dna
ACH-000057,PR-66O0dn,rna
ACH-000788,PR-QmkJ5E,rna
ACH-000788,PR-XkWGDu,dna
ACH-000463,PR-rGE9SL,rna
ACH-000463,PR-0lYTUJ,dna
ACH-002664,PR-VvSZhC,rna
ACH-002664,PR-b3YKAJ,dna
ACH-001441,PR-eJ7KAg,rna
ACH-001441,PR-bLDw8z,dna
ACH-000527,PR-jYuKAf,rna
ACH-000527,PR-VKDITz,dna
ACH-000939,PR-EpuuAs,rna
ACH-000939,PR-xgHfr3,dna
ACH-000774,PR-JcyBfH,rna
ACH-000774,PR-ccVAfj,dna
ACH-000997,PR-x7CiR1,rna
ACH-000997,PR-4jA3sP,dna
ACH-000130,PR-IxOM7b,rna
ACH-000130,PR-2tdb7F,dna
ACH-001654,PR-m7d30E,rna
ACH-001654,PR-kYV614,dna
ACH-001605,PR-Fq5SE1,rna
ACH-001605,PR-pyNSbW,dna
ACH-002170,PR-wcIlWE,dna
ACH-000141,PR-Hdt4Xh,rna
ACH-000141,PR-6AvZgM,dna
ACH-000908,PR-triSRE,rna
ACH-000908,PR-7wqNkp,dna
ACH-001857,PR-4BC6Pj,rna
ACH-001857,PR-TDMY1U,dna
ACH-000195,PR-DJcKGh,rna
ACH-000195,PR-fj0xC7,dna
ACH-000477,PR-lcaBsl,rna
ACH-000477,PR-DR1DGB,dna
ACH-002004,PR-oDExe3,rna
ACH-002004,PR-rBr1Ac,dna
ACH-001834,PR-lkBeSu,rna
ACH-001834,PR-pqyD89,dna
ACH-000807,PR-b0b93G,rna
ACH-000807,PR-jhR7Fa,dna
ACH-000253,PR-Tc6LDI,rna
ACH-000253,PR-yQcBwB,dna
ACH-000967,PR-yJy4ma,rna
ACH-000967,PR-3cTeXa,dna
ACH-002293,PR-EImm1L,dna
ACH-000033,PR-mnal5i,rna
ACH-000414,PR-0jK5CP,rna
ACH-000414,PR-Z6ygbb,dna
ACH-000190,PR-p2c58x,rna
ACH-000190,PR-8Yu9YJ,dna
ACH-001458,PR-zrOqCQ,rna
ACH-001458,PR-3rmupJ,dna
ACH-000599,PR-UdA6Kp,rna
ACH-000599,PR-1kfdq0,dna
ACH-000529,PR-85uMir,rna
ACH-000529,PR-YCiZWz,dna
ACH-000445,PR-wO5zCJ,rna
ACH-000445,PR-f67WG7,dna
ACH-001301,PR-otItUv,rna
ACH-001301,PR-rbB3Be,dna
ACH-001574,PR-N1KumS,rna
ACH-001574,PR-RaAEhK,dna
ACH-002177,PR-R159B7,dna
ACH-000789,PR-GkSvfv,rna
ACH-000789,PR-2056gD,dna
ACH-000845,PR-MwnSjz,rna
ACH-000845,PR-QK7vCY,dna
ACH-001674,PR-XBA1c8,rna
ACH-001674,PR-qeHjNe,dna
ACH-002084,PR-ndLdLY,rna
ACH-002084,PR-xyiBD5,dna
ACH-000412,PR-LDoCZe,rna
ACH-000412,PR-TAqZxy,dna
ACH-002968,PR-MmJ2c6,rna
ACH-002968,PR-t362oG,dna
ACH-000535,PR-Ut1UDJ,rna
ACH-000535,PR-3Id9kv,dna
ACH-002290,PR-2BUowi,dna
ACH-000721,PR-ug9GqP,rna
ACH-000721,PR-hSjTFK,dna
ACH-000879,PR-nbMpna,rna
ACH-000879,PR-Z1m7Da,dna
ACH-000054,PR-9PAINE,rna
ACH-000054,PR-yAGfTn,dna
ACH-001848,PR-C225QE,rna
ACH-001848,PR-q9IpON,dna
ACH-000023,PR-dd92qT,rna
ACH-000023,PR-hVRrXM,dna
ACH-001740,PR-G6BwzB,rna
ACH-001740,PR-3vwKej,dna
ACH-001391,PR-y4Hq9g,rna
ACH-001391,PR-3lYZxw,dna
ACH-002208,PR-XW4pvi,dna
ACH-000969,PR-kjZ5VU,rna
ACH-000969,PR-IDmG5E,dna
ACH-002523,PR-mOvL7b,rna
ACH-002523,PR-qriRkB,dna
ACH-000533,PR-tJfKKO,rna
ACH-000533,PR-6YTkOv,dna
ACH-001716,PR-vZcxjI,rna
ACH-001716,PR-uYaeFm,dna
ACH-000540,PR-u4yXTv,rna
ACH-000540,PR-izr1JZ,dna
ACH-000714,PR-M1HSA6,rna
ACH-000714,PR-qCkqEL,dna
ACH-000616,PR-wIhfBR,rna
ACH-000616,PR-qwF7H0,dna
ACH-002273,PR-UAFuXt,dna
ACH-000404,PR-WfzrKC,rna
ACH-000404,PR-g73uDb,dna
ACH-001075,PR-VUoQ0c,rna
ACH-001075,PR-vGphLy,dna
ACH-002316,PR-DXR2Qg,dna
ACH-000357,PR-cOzeOf,rna
ACH-000357,PR-TYEUow,dna
ACH-000322,PR-triaFC,rna
ACH-000322,PR-SG6WEu,dna
ACH-002377,PR-Q919N6,dna
ACH-000561,PR-jsJhgm,rna
ACH-000561,PR-uFu7TD,dna
ACH-001642,PR-QwYzp3,rna
ACH-001642,PR-zrjzDr,dna
ACH-001359,PR-HzNj7n,dna
ACH-000217,PR-Zs4Ktw,rna
ACH-000217,PR-rk6CBC,dna
ACH-002979,PR-VHorSD,rna
ACH-002979,PR-XqsUVG,dna
ACH-002230,PR-0sb1bx,dna
ACH-000953,PR-QDmNFa,rna
ACH-000953,PR-rRZI8v,dna
ACH-000154,PR-1jxOSO,rna
ACH-000154,PR-vW8e3y,dna
ACH-000824,PR-6Jqlga,rna
ACH-000824,PR-8kT9dj,dna
ACH-000572,PR-jvC6UX,rna
ACH-000572,PR-xftxYA,dna
ACH-002258,PR-gYTIm3,dna
ACH-002249,PR-2n9k8d,dna
ACH-002044,PR-SkPYR5,rna
ACH-002044,PR-2LRi7T,dna
ACH-001355,PR-jSRrFC,dna
ACH-002508,PR-ge4PZ5,rna
ACH-002508,PR-wEiQi3,dna
ACH-002459,PR-Cqd4CZ,rna
ACH-002459,PR-HbPL2F,dna
ACH-002191,PR-Nken5D,dna
ACH-000206,PR-by8s63,rna
ACH-000206,PR-gJ2xo3,dna
ACH-000325,PR-E0uhoV,rna
ACH-000325,PR-1ysvRM,dna
ACH-000345,PR-xjS9A4,rna
ACH-000345,PR-JjObZD,dna
ACH-000490,PR-dbo1ZY,rna
ACH-000490,PR-DlcQhe,dna
ACH-001616,PR-ap8RKC,rna
ACH-001616,PR-wCf7pr,dna
ACH-000834,PR-rVEWoO,rna
ACH-000834,PR-yX1uS6,dna
ACH-002526,PR-ngHGL0,rna
ACH-002526,PR-UASMsg,dna
ACH-000188,PR-iTW9LC,rna
ACH-000188,PR-Qjrhu6,dna
ACH-000697,PR-M1wKxf,rna
ACH-000697,PR-ODzNZa,dna
ACH-000566,PR-vEbhQi,rna
ACH-000566,PR-9oSzc2,dna
ACH-000648,PR-3ouIg3,rna
ACH-000648,PR-GxTIq9,dna
ACH-000370,PR-gmfVYW,rna
ACH-000370,PR-gJ5wBu,dna
ACH-000628,PR-boiAEH,rna
ACH-000628,PR-hTO7AX,dna
ACH-000625,PR-LfW3kz,rna
ACH-000625,PR-illyAu,dna
ACH-001570,PR-QHZ44T,rna
ACH-001570,PR-pP13nB,dna
ACH-000309,PR-FnvgpP,dna
ACH-001618,PR-YU5gj2,rna
ACH-001618,PR-CAq8kn,dna
ACH-000337,PR-ZJC2Tm,rna
ACH-000337,PR-A4KXo8,dna
ACH-001380,PR-eer3rS,rna
ACH-001380,PR-FoPc2W,dna
ACH-000528,PR-yRj8KP,rna
ACH-000528,PR-3ciTsA,dna
ACH-001624,PR-xosHek,rna
ACH-001624,PR-munHHv,dna
ACH-000543,PR-AXgO9d,rna
ACH-000543,PR-4ceSCX,dna
ACH-001528,PR-MSWTYV,rna
ACH-001528,PR-AAAPDO,dna
ACH-000709,PR-VyJ2hP,rna
ACH-000709,PR-CRi1z7,dna
ACH-002926,PR-VcTZiv,rna
ACH-002926,PR-bdhY8L,dna
ACH-001338,PR-BoNJN3,rna
ACH-001338,PR-FGqCkP,dna
ACH-001389,PR-gP1ErT,rna
ACH-001389,PR-B8sPoH,dna
ACH-002252,PR-2zNA9s,dna
ACH-001172,PR-ZzPC09,rna
ACH-001172,PR-0yCTLT,dna
ACH-002299,PR-idqkoH,dna
ACH-001786,PR-Dd3Y38,rna
ACH-001786,PR-dIoH1a,dna
ACH-001559,PR-MqGXlV,rna
ACH-001559,PR-ymF7Fs,dna
ACH-000878,PR-LKslp8,rna
ACH-000878,PR-DEEPBR,dna
ACH-002157,PR-64cwWG,dna
ACH-000586,PR-tBWeFX,rna
ACH-000586,PR-tcGtRs,dna
ACH-001376,PR-9I9gZ8,rna
ACH-001376,PR-uqGF1w,dna
ACH-002373,PR-GHS53C,dna
ACH-001335,PR-0fum2y,rna
ACH-001335,PR-VCqemJ,dna
ACH-002264,PR-h5NMdB,dna
ACH-000553,PR-Yl6znf,rna
ACH-000553,PR-za3nFW,dna
ACH-000236,PR-1wr0dD,rna
ACH-000236,PR-kERVrz,dna
ACH-001804,PR-bCkbuq,rna
ACH-001804,PR-99DXqR,dna
ACH-000035,PR-3xbT2W,rna
ACH-000035,PR-JSUJXv,dna
ACH-000897,PR-6wUUpP,rna
ACH-000897,PR-60G1Cd,dna
ACH-000478,PR-nnKvUV,rna
ACH-000478,PR-KfGlp0,dna
ACH-000780,PR-KvwOoK,rna
ACH-000780,PR-S9sI45,dna
ACH-000017,PR-MQZDB2,rna
ACH-000017,PR-44ugos,dna
ACH-002465,PR-kBIgYH,rna
ACH-002465,PR-l4NGGv,dna
ACH-001743,PR-vgO88o,rna
ACH-002055,PR-duz1aW,rna
ACH-002055,PR-Gta1iS,dna
ACH-001707,PR-84JV3M,rna
ACH-001707,PR-G4nBwv,dna
ACH-001388,PR-JBfN0P,rna
ACH-001388,PR-VCeNaZ,dna
ACH-002222,PR-Sitlx9,dna
ACH-000932,PR-W3f0Ls,rna
ACH-000932,PR-Wih2BW,dna
ACH-002461,PR-QzsyRY,rna
ACH-002461,PR-eK1c8R,dna
ACH-000209,PR-5d6LKV,rna
ACH-000209,PR-WHoiZN,dna
ACH-000123,PR-gBB5AV,rna
ACH-000123,PR-44QNXx,dna
ACH-000266,PR-qbkxrw,rna
ACH-000266,PR-OIULtg,dna
ACH-001341,PR-KJ5osl,rna
ACH-001341,PR-F6k6d2,dna
ACH-002285,PR-5WO99r,dna
ACH-002097,PR-lt2zJJ,dna
ACH-001334,PR-mqjp6u,rna
ACH-001334,PR-rJaHLi,dna
ACH-000129,PR-ZJS678,rna
ACH-000129,PR-poR0GY,dna
ACH-000393,PR-zkqqQA,rna
ACH-000393,PR-QCdKYn,dna
ACH-000464,PR-V7nTHQ,rna
ACH-000464,PR-sKTs2p,dna
ACH-000228,PR-I3AQvS,rna
ACH-000228,PR-BTFgwn,dna
ACH-000395,PR-4FMaFX,rna
ACH-000395,PR-td87Mh,dna
ACH-000684,PR-fSYZbP,rna
ACH-000684,PR-3lR3Kt,dna
ACH-000799,PR-AwyW0r,rna
ACH-000799,PR-ifjSuo,dna
ACH-001395,PR-W1Vu76,rna
ACH-001395,PR-KPBwzL,dna
ACH-000608,PR-n5GuJu,rna
ACH-000608,PR-zB9Zze,dna
ACH-000736,PR-pHgGDw,rna
ACH-000736,PR-CdFk6C,dna
ACH-002100,PR-fi9A8c,dna
ACH-001016,PR-HKt6Wk,rna
ACH-001016,PR-gEo6Dy,dna
ACH-000471,PR-zuUaCY,rna
ACH-000471,PR-O604SG,dna
ACH-000942,PR-xQbaOc,rna
ACH-000942,PR-1KtKNh,dna
ACH-000973,PR-2lppyq,rna
ACH-000973,PR-uY1Fyn,dna
ACH-000962,PR-utYyFZ,rna
ACH-000962,PR-fiCrEH,dna
ACH-001691,PR-Luepaz,rna
ACH-001691,PR-2ei6MD,dna
ACH-001709,PR-NwtrUx,rna
ACH-001709,PR-1T6Ogc,dna
ACH-001652,PR-5I15LD,rna
ACH-001652,PR-E4kgLt,dna
ACH-000975,PR-s28NRl,rna
ACH-000975,PR-ICWGyU,dna
ACH-000349,PR-KhMQv7,rna
ACH-000349,PR-vhQ7Yl,dna
ACH-000132,PR-36vuIB,rna
ACH-000132,PR-pz76Ci,dna
ACH-002313,PR-xnmF4E,dna
ACH-000062,PR-kRoBoc,rna
ACH-000062,PR-t8SaQo,dna
ACH-002024,PR-5wNsGX,rna
ACH-002024,PR-Ko7qop,dna
ACH-000707,PR-GC84C9,rna
ACH-000707,PR-hy3gz2,dna
ACH-000448,PR-wUsYv2,rna
ACH-000448,PR-Nqfp9a,dna
ACH-001210,PR-JDgmtA,rna
ACH-001210,PR-f7BNiO,dna
ACH-000761,PR-0NZTmr,rna
ACH-000761,PR-eXCb19,dna
ACH-000046,PR-s5pYAd,rna
ACH-000046,PR-NXn9fL,dna
ACH-001836,PR-PvFCea,rna
ACH-001836,PR-uL2uoM,dna
ACH-000382,PR-Axh1Q4,rna
ACH-000382,PR-98A3fe,dna
ACH-001188,PR-91uSGU,rna
ACH-001188,PR-B8MLf4,dna
ACH-000620,PR-jVbHsl,rna
ACH-000620,PR-xcjpPu,dna
ACH-001562,PR-JAoC41,rna
ACH-001562,PR-wm23sm,dna
ACH-002093,PR-StXnXE,dna
ACH-000320,PR-cDVOo6,rna
ACH-000320,PR-ChODde,dna
ACH-002338,PR-PxhkI8,dna
ACH-003071,PR-xvMj9B,dna
ACH-000339,PR-Iovwi2,rna
ACH-000339,PR-yBAw2p,dna
ACH-000453,PR-IobBeJ,rna
ACH-000453,PR-mXUTIx,dna
ACH-000809,PR-pL8wuN,rna
ACH-000809,PR-oc1tWJ,dna
ACH-000443,PR-CNjF7V,rna
ACH-000443,PR-B7qAWp,dna
ACH-000574,PR-8FmIkm,rna
ACH-000574,PR-ppRdDh,dna
ACH-002145,PR-XqSAmr,dna
ACH-000604,PR-IbTtJM,rna
ACH-000604,PR-nNoRvY,dna
ACH-002039,PR-ePqZSh,rna
ACH-002039,PR-TVqeZI,dna
ACH-000394,PR-6XMxeb,rna
ACH-000394,PR-E6SXDf,dna
ACH-002266,PR-QOqqMr,dna
ACH-001443,PR-rgWliS,rna
ACH-001443,PR-xenMnr,dna
ACH-000786,PR-Ajq7QR,rna
ACH-000786,PR-vYutiJ,dna
ACH-000865,PR-YXD5aQ,rna
ACH-000865,PR-cBwtP5,dna
ACH-001555,PR-mRjLQC,rna
ACH-001555,PR-5KV6hR,dna
ACH-002301,PR-eW4uZr,dna
ACH-000633,PR-3dMYvZ,rna
ACH-000633,PR-MUPtwP,dna
ACH-000955,PR-dZuRwF,rna
ACH-000955,PR-CoHhzW,dna
ACH-002236,PR-MnWmgX,dna
ACH-000885,PR-iGMNDM,rna
ACH-000885,PR-ySytZD,dna
ACH-000138,PR-px3fif,rna
ACH-000138,PR-WgUzdj,dna
ACH-002730,PR-RO544C,rna
ACH-002730,PR-qW4VP8,dna
ACH-001461,PR-XImzB7,rna
ACH-001461,PR-C0LzlL,dna
ACH-002282,PR-kL47E1,dna
ACH-002128,PR-ZHyyHk,dna
ACH-002356,PR-1p5gBP,dna
ACH-001282,PR-3hoqtV,dna
ACH-002035,PR-ij9AKv,rna
ACH-002035,PR-mdehro,dna
ACH-000173,PR-OMZ70F,rna
ACH-000173,PR-6gEpz9,dna
ACH-000419,PR-NOmgxU,rna
ACH-000419,PR-pUkUFz,dna
ACH-000234,PR-uAHYNz,rna
ACH-000234,PR-CpW7at,dna
ACH-000473,PR-ETFBqT,rna
ACH-000473,PR-aiOQBz,dna
ACH-000874,PR-mYhmQz,rna
ACH-000874,PR-kgYJ5d,dna
ACH-002152,PR-BTcI0F,dna
ACH-000231,PR-ZzHTvC,rna
ACH-000231,PR-34luyw,dna
ACH-000624,PR-AoRUnw,rna
ACH-000624,PR-CQGieI,dna
ACH-002231,PR-5ecI84,dna
ACH-000442,PR-Mu4S4x,rna
ACH-000442,PR-39zHGy,dna
ACH-000286,PR-DylSnW,rna
ACH-000286,PR-IKEVRD,dna
ACH-002226,PR-stCYi4,dna
ACH-000562,PR-I6cseI,rna
ACH-000562,PR-qwNCQ4,dna
ACH-002113,PR-iMfpfU,dna
ACH-000558,PR-pMPXff,rna
ACH-000558,PR-12SQGk,dna
ACH-000326,PR-KmlYch,rna
ACH-000326,PR-oavctB,dna
ACH-002190,PR-n3idzY,dna
ACH-001550,PR-GW3z1d,rna
ACH-001550,PR-68uoMh,dna
ACH-002306,PR-jVSw8t,dna
ACH-001628,PR-WnMqrw,rna
ACH-001628,PR-s2krk3,dna
ACH-001715,PR-pUWMlI,rna
ACH-001715,PR-OrnAxc,dna
ACH-000183,PR-nOR146,rna
ACH-000183,PR-Kaer3I,dna
ACH-001452,PR-z1ZBpL,dna
ACH-002224,PR-97H3Ob,dna
ACH-001346,PR-HxYvIU,rna
ACH-001346,PR-psGRjS,dna
ACH-001400,PR-rBEEq2,rna
ACH-001400,PR-kdeNGD,dna
ACH-001093,PR-hkuteC,dna
ACH-002018,PR-ypHY9W,rna
ACH-002018,PR-ru8cWl,dna
ACH-002745,PR-fL5AcE,rna
ACH-002745,PR-I215HI,dna
ACH-002183,PR-leaaZd,dna
ACH-000581,PR-YIgOUP,rna
ACH-000581,PR-ijAF5c,dna
ACH-000257,PR-V5Aul5,rna
ACH-000257,PR-Fxytjs,dna
ACH-001819,PR-pwB7cp,rna
ACH-001819,PR-eJKW7S,dna
ACH-000038,PR-0OiVj9,rna
ACH-000038,PR-6aWr47,dna
ACH-000493,PR-ikicQY,rna
ACH-000493,PR-ptLF3i,dna
ACH-000300,PR-sioNsq,rna
ACH-000669,PR-CCDS4v,rna
ACH-000669,PR-oj10m2,dna
ACH-001373,PR-cayth1,rna
ACH-001373,PR-LBDu2l,dna
ACH-000340,PR-iTlNWL,rna
ACH-000340,PR-JbzjQE,dna
ACH-002288,PR-ru7QtA,dna
ACH-002042,PR-tZb7wy,rna
ACH-002042,PR-VU9Wts,dna
ACH-000061,PR-WlUUhQ,rna
ACH-000061,PR-YkFyBd,dna
ACH-000083,PR-YkCbAa,rna
ACH-000083,PR-QnZ5wx,dna
ACH-000523,PR-qsDmbH,rna
ACH-000523,PR-RZUnHd,dna
ACH-002102,PR-bO1fo6,dna
ACH-000007,PR-nqKqcK,rna
ACH-000007,PR-xDiVzH,dna
ACH-002017,PR-YOr8Y3,rna
ACH-002017,PR-msunnO,dna
ACH-000929,PR-FbfJpO,rna
ACH-000929,PR-i1FTOz,dna
ACH-002193,PR-pjbvTk,dna
ACH-001524,PR-bUr0el,rna
ACH-001524,PR-mH1G4k,dna
ACH-000892,PR-i3ekbD,rna
ACH-000892,PR-KYxq2O,dna
ACH-001522,PR-MlinS7,rna
ACH-001522,PR-H4aeGM,dna
ACH-000981,PR-HhfBV1,rna
ACH-000981,PR-aj40PN,dna
ACH-000251,PR-cCUuKZ,rna
ACH-000251,PR-Cbj0hG,dna
ACH-000282,PR-cSIQxK,rna
ACH-001997,PR-IVFp8S,rna
ACH-001997,PR-QQ2Hv2,dna
ACH-000181,PR-ZAOmKe,rna
ACH-000181,PR-bRG72C,dna
ACH-000389,PR-UONBZL,rna
ACH-000389,PR-tCtgHM,dna
ACH-000992,PR-mkVABK,dna
ACH-002195,PR-CiXMqx,dna
ACH-000912,PR-atsEb5,rna
ACH-000912,PR-maqskN,dna
ACH-002254,PR-0l1GM0,dna
ACH-001379,PR-2echgq,rna
ACH-001379,PR-W05ZUE,dna
ACH-000589,PR-wV5Pb5,rna
ACH-000589,PR-1JTXkC,dna
ACH-000649,PR-YfqV2U,rna
ACH-000649,PR-A3tiJU,dna
ACH-001421,PR-d1qNHX,rna
ACH-001421,PR-cfJNvc,dna
ACH-001456,PR-fo6yzd,rna
ACH-001456,PR-LKnZT2,dna
ACH-001412,PR-5E6PNA,rna
ACH-001412,PR-v47xoc,dna
ACH-002309,PR-FWG9sX,dna
ACH-001750,PR-tqXYYO,rna
ACH-001750,PR-TyIacC,dna
ACH-000593,PR-fdFrgX,rna
ACH-000593,PR-wKsgIY,dna
ACH-002027,PR-ocDrsV,rna
ACH-002027,PR-YAM0fc,dna
ACH-000438,PR-UHauzg,rna
ACH-000438,PR-3qs75a,dna
ACH-000417,PR-g6AdWm,rna
ACH-000417,PR-q9VmGQ,dna
ACH-001164,PR-7am447,rna
ACH-001164,PR-7mxijk,dna
ACH-002272,PR-WU0LTt,dna
ACH-002159,PR-jo1gJI,dna
ACH-000293,PR-aacPqP,rna
ACH-000293,PR-4Ja92f,dna
ACH-000811,PR-dn3OOX,rna
ACH-000811,PR-Mrn0df,dna
ACH-000495,PR-Fg5Fny,rna
