Depmap ID,"CRISPR (DepMap Public 23Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 23Q2,Mutations_Prioritized
ACH-000881,-0.0532950222376698,MELJUSO,Melanoma,Skin,Melanoma,4.877744249949002,Other
ACH-000882,0.0208858939763509,IGR1,Melanoma,Skin,Melanoma,5.342341397431548,Other
ACH-000884,-0.1209306632300508,MDAMB435S,Melanoma,Skin,Melanoma,6.2092583936655625,Other
ACH-000885,-0.1069644631017587,TOV21G,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.552745936748446,Other
ACH-000865,-0.0905635512991653,KYSE450,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,6.096978636370538,Other
ACH-001525,-0.1016623328475264,HT3,Cervical Adenocarcinoma,Cervix,Cervical Adenocarcinoma,6.919340082442012,Other
ACH-000938,-0.081950728459155,NALM6,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,6.546277132090075,Other
ACH-000941,-0.0132064552896381,HEC1B,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.351557662450426,Other
ACH-000988,-0.2318182140119682,MFE319,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,4.628773595201645,Other
ACH-000991,-0.2383215484800472,SNU81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,7.525520809095069,Other
ACH-000995,-0.1243678759500725,JURKAT,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,5.47735352663456,Other
ACH-000996,-0.3409352781276153,HEC251,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.873813198359088,Other
ACH-000997,-0.1566755081894636,HCT15,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.20906339534927,Other
ACH-001001,-0.1364772046681286,143B,Osteosarcoma,Bone,Osteosarcoma,5.718087583960517,Other
ACH-001016,0.1460209081496058,BECKER,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.612499945739441,Other
ACH-001020,-0.2203320493359039,BT16,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.649040565634448,Other
ACH-001028,-0.0875399082891454,CHLA06ATRT,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.357200084860054,Other
ACH-001029,-0.0766991180335767,CHLA10,Ewing Sarcoma,Bone,Ewing Sarcoma,5.895302621333307,Other
ACH-001031,-0.130994723961777,CHLA266,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.107687869314374,Other
ACH-001033,-0.173602146333805,CHLA57,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.454175893185802,Other
ACH-001036,-0.2501058935614566,CMK115,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,5.956056652412403,Other
ACH-001038,-0.1025827303148798,COGE352,Ewing Sarcoma,Bone,Ewing Sarcoma,5.0925457415435655,Other
ACH-000986,-0.2538253702462848,HT115,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.547819956577703,Other
ACH-001039,-0.0927723873831277,COLO205,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,,Other
ACH-001048,0.0082491823450728,COV504,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.535430914871279,Other
ACH-001050,-0.0993676868758492,CW9019,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,4.628773595201645,Other
ACH-001053,-0.27009325745459,D425,Embryonal Tumor,CNS/Brain,Embryonal Tumor,6.881664619320345,Other
ACH-001054,-0.0758495984646387,D458,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.866907978143166,Other
ACH-001061,-0.1591323116965529,DLD1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.461397589926158,Other
ACH-001063,-0.118183257631029,DOV13,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-001065,0.0242266460359503,EVSAT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-001067,-0.0703299037732569,F5,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor,5.35860724911781,Other
ACH-001075,-0.049269393624737,NCIH292,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.1888360730305285,Other
ACH-001081,-0.2297561649604475,HCC2998,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,,Other
ACH-001096,-0.1757575781950322,JR,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.386810946472217,Other
ACH-001098,-0.0410981675279316,KCIMOH1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.1715271060388135,Other
ACH-001099,-0.060345402415339,KD,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.503984703897613,Other
ACH-001107,-0.2050546670369335,KP1N,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,,Other
ACH-001041,-0.2480541822267635,CHL1DM,Melanoma,Skin,Melanoma,6.282995721155153,Other
ACH-000939,-0.0306769760518695,SKUT1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal,5.770300489499416,Other
ACH-000985,-0.2841387464597522,LS411N,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.325710207515785,Other
ACH-000983,-0.0270801485025953,KCL22,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,5.131754090984813,Other
ACH-000943,-0.1498481611426917,RKO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.554281862626391,Other
ACH-000944,-0.1274259179471531,NAMALWA,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,6.225930411171055,Other
ACH-000945,-0.2397675604900754,NCIH650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.104755986962257,Other
ACH-000946,-0.0220561026370134,HEC265,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.524815928357506,Other
ACH-000947,-0.0288689453053107,OVK18,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.357552004618084,Other
ACH-000948,-0.046506554260596,2313287,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.818390444469626,Other
ACH-000950,-0.1141107701645991,LOVO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.567727963304803,Other
ACH-000953,-0.0922835165565428,SUPT1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,6.909413105377229,Other
ACH-000956,0.0067913547783517,22RV1,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,6.287804709077553,Other
ACH-000957,0.0501573974476569,LS180,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.2918613695852175,Other
ACH-000958,-0.0424095436984747,SW48,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.520265083643574,Other
ACH-000959,-0.0396148206603069,SNUC4,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.6604951318885135,Other
ACH-000960,-0.1006866247281921,REH,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,6.67072705449947,Other
ACH-000961,-0.1094647674814884,ISHIKAWAHERAKLIO02ER,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.134631671447647,Other
ACH-000984,-0.0554947393439843,HEC6,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.285032249622911,Other
ACH-000962,-0.1387239846448975,OC314,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.127633279725874,Other
ACH-000965,-0.0848839636529398,RL952,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.416501992867417,Other
ACH-000966,-0.2124121846103302,IGROV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.442280035252584,Other
ACH-000968,-0.124648737954925,COLO792,Melanoma,Skin,Melanoma,4.722466024471091,Other
ACH-000969,-0.0830594853232615,KM12,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,7.003152448666922,Other
ACH-000970,-0.1247784007965763,SNUC5,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.952799477899938,Other
ACH-000971,-0.239643119426137,HCT116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.529196267999391,Other
ACH-000973,-0.1067018961943289,639V,Urethral Cancer,Bladder/Urinary Tract,Urethral Cancer,5.147713722352154,Other
ACH-000974,-0.0806262075158314,SNGM,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.059182199211692,Other
ACH-000975,-0.2154343505473225,HCC2450,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.901832305785489,Other
ACH-000976,-0.0667837396735899,HUCCT1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,6.96185480763616,Other
ACH-000977,-0.0687274818095978,LNCAPCLONEFGC,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,5.463033855317493,Other
ACH-000978,-0.3248438841006953,EN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.142004915984876,Other
ACH-000979,-0.1428981657546317,DU145,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,,Other
ACH-000980,-0.1414568598958397,NCIH1155,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.1039172107520665,Other
ACH-000963,-0.2908421728289261,CCK81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.91169158187234,Other
ACH-001526,-0.1744402280161695,HUO9,Osteosarcoma,Bone,Osteosarcoma,6.323189901088398,Other
ACH-001528,-0.194894975208841,IHH4,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer,5.164705840182799,Other
ACH-001530,-0.0138027090507239,JEG3,Gestational Trophoblastic Disease,Uterus,Gestational Trophoblastic Disease,6.191996846669772,Other
ACH-002066,-0.0892009009948844,HSSCH2,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,5.391973883060293,Other
ACH-002067,-0.1241855725667543,NOS1,Osteosarcoma,Bone,Osteosarcoma,4.886062338345599,Other
ACH-002069,-0.3160652756807241,HSOS1,Osteosarcoma,Bone,Osteosarcoma,4.23342794374847,Other
ACH-002070,-0.1343978043440976,HKBMM,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor,5.003602236680195,Other
ACH-002077,-0.244810389557685,LU165,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.701133154847972,Other
ACH-002080,-0.068699858136806,TN2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.717813489718049,Other
ACH-002083,-0.1123153100974208,NB69,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002084,-0.1139928240767517,MMAC,Melanoma,Skin,Melanoma,3.661065479806948,Other
ACH-002105,0.0273874268195317,ES4,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002106,-0.1970276289879303,ES5,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002109,-0.2074085145421598,ES8,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002110,-0.0658848946167885,EW1,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002114,-0.0640049361665534,EW16,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002116,-0.0682523578461147,EW22,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002062,-0.1301029878113911,SLVL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.23687524536694,Other
ACH-002119,-0.2424233214304724,EW7,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002141,-0.2144901424117712,HSC39,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-002143,-0.15535062206759,ISTMEL1,Melanoma,Skin,Melanoma,,Other
ACH-002150,-0.0525364964310788,LB1047RCC,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,,Other
ACH-002156,0.0497605365105304,LC1SQ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,,Other
ACH-002160,-0.3309207849710288,MCIXC,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002161,0.0209748958498997,MKN28,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-002179,-0.0795780281727596,OCUBM,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-002181,-0.1659317519003721,OVCA420,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-002183,-0.1831285211581704,OVMIU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-002186,-0.2957628058055912,PL4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,,Other
ACH-002189,-0.0110809439543177,RCCFG2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,,Other
ACH-002198,-0.3597113941042196,SCH,Extra Gonadal Germ Cell Tumor,Other,Extra Gonadal Germ Cell Tumor,,Other
ACH-002202,0.0197712782196167,TMK1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-002210,-0.0768188357921176,ARH77,Non-Cancerous,Myeloid,Non-Cancerous,,Other
ACH-002140,-0.1155945318328708,HEY,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-002212,0.1100397241741465,BB30HNC,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002061,-0.0928391318922021,P2URK562,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,6.031439309319335,Other
ACH-002051,-0.0441374355596498,LU134A,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.509379148914689,Other
ACH-001991,-0.155297948041233,NZOV9,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.251340382788616,Other
ACH-001992,-0.0678292814312625,ONE58,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,5.810186007695356,Other
ACH-001993,-0.2358770905696558,NALM16,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,7.063718640152248,Other
ACH-001997,-0.2355284895767821,ECC2,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,5.2861418728343015,Other
ACH-001999,-0.1640638934215008,9505BIK,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.527477006060396,Other
ACH-002001,-0.0953034504372485,A375SKINCJ1,Melanoma,Skin,Melanoma,4.318316841334983,Other
ACH-002002,-0.0508445717249153,A375SKINCJ2,Melanoma,Skin,Melanoma,4.638073837180719,Other
ACH-002003,-0.0593002717357763,A375SKINCJ3,Melanoma,Skin,Melanoma,4.558879853475442,Other
ACH-002005,-0.1478651857896251,SKMEL19,Melanoma,Skin,Melanoma,4.964398632203184,Other
ACH-002014,-0.1664119191357092,MEL270,Ocular Melanoma,Eye,Ocular Melanoma,5.216842842837263,Other
ACH-002015,-0.052825057393051,MEL285,Ocular Melanoma,Eye,Ocular Melanoma,5.512226886513957,Other
ACH-002016,0.0035428528233293,MEL290,Ocular Melanoma,Eye,Ocular Melanoma,4.931683057059805,Other
ACH-002018,-0.1607485967188997,OMM25,Ocular Melanoma,Eye,Ocular Melanoma,4.088311235888661,Other
ACH-002019,0.0698560692624507,HOKUG,Glassy Cell Carcinoma of the Cervix,Cervix,Glassy Cell Carcinoma of the Cervix,6.221683781010973,Other
ACH-002059,0.0583390152426348,P30OHK,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,6.887647114839535,Other
ACH-002020,-0.0387171603864294,SKGIIIA,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.56346323668308,Other
ACH-002023,0.0072588615367718,TGBC18TKB,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma,5.219555769166913,Other
ACH-002024,-0.1869707798284612,ECC4,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.514122260170708,Other
ACH-002026,0.0291936325580613,HHUA,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.360013042204331,Other
ACH-002027,0.0688865501676729,HOUAI,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.323730337521348,Other
ACH-002029,-0.1904124805259204,SAS,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.596637034102074,Other
ACH-002035,-0.1569916557781429,LCAM1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.2671612180222604,Other
ACH-002039,0.0233445503047081,PK8,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.039138393906958,Other
ACH-002041,-0.0556290054171448,HOTHC,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,4.9886846867721655,Other
ACH-002042,-0.0668212056991136,T3M5,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.245647773636751,Other
ACH-002043,-0.2204603830832648,CA922,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.280585202564472,Other
ACH-002044,0.0865599358068258,HSQ89,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.350850805483376,Other
ACH-002045,0.0941443517249356,HO1U1,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.320484678017694,Other
ACH-002046,-0.0164219894877071,HTMMT,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,4.526068811667588,Other
ACH-002048,-0.0986660131238542,RMSYM,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.325890061039784,Other
ACH-002021,-0.1185442731201257,T3M3,Gestational Trophoblastic Disease,Uterus,Gestational Trophoblastic Disease,5.698218478224414,Other
ACH-001990,0.0273763900503038,NZM7,Melanoma,Skin,Melanoma,5.531693360861466,Other
ACH-002217,-0.176996670217941,BE2M17,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002229,0.0620425641184134,D502MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002462,0.0812778865134483,RPE1SS48,Non-Cancerous,Eye,Non-Cancerous,5.241077458175037,Other
ACH-002463,-0.0301850015560942,RPE1SS77,Non-Cancerous,Eye,Non-Cancerous,4.797012977836145,Other
ACH-002464,-0.0425411906426542,RPE1SS6,Non-Cancerous,Eye,Non-Cancerous,5.41006969175638,Other
ACH-002465,-0.0740701399810913,RPE1SS119,Non-Cancerous,Eye,Non-Cancerous,5.5858639034626885,Other
ACH-002467,-0.0695946456426772,RPE1SS51,Non-Cancerous,Eye,Non-Cancerous,4.28835856219366,Other
ACH-002471,-0.3733728811605323,PSS008,Osteosarcoma,Bone,Osteosarcoma,6.794935662803536,Other
ACH-002485,-0.2131333903363177,MAVER1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.862699340976598,Other
ACH-002486,-0.0527752522130989,MESOV,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.886306263452426,Other
ACH-002508,-0.013830283254272,WM3211,Melanoma,Skin,Melanoma,5.5576551547254205,Other
ACH-002510,0.0518380710951102,M040416,Melanoma,Skin,Melanoma,5.419875930422195,Other
ACH-002511,-0.0398749153710367,M140325,Melanoma,Skin,Melanoma,6.141187525005,Other
ACH-002512,-0.5105512769775096,MM160113,Melanoma,Skin,Melanoma,5.023698917266407,Other
ACH-002523,-0.0801572149023721,SNU739,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,5.078951341394822,Other
ACH-002526,-0.1559318061209011,SNU1327,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.701549056943071,Other
ACH-002461,0.0596286769425132,RVH421SKINFV1,Melanoma,Skin,Melanoma,6.281327329659484,Other
ACH-002647,-0.0079288364541977,CCC5,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,4.498250867527825,Other
ACH-002654,-0.1411239830615056,JVE015,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.746312766425459,Other
ACH-002659,-0.1357969654339816,JVE127,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.799346387522287,Other
ACH-002664,-0.1273218618134908,JVE253,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.650764559116903,Other
ACH-002669,-0.2026693875998577,KP363T,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.750338520244706,Other
ACH-002672,-0.0732997942291791,MAPACHS77,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.642990312961163,Other
ACH-002680,-0.088976168787553,170MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma,4.803743668505225,Other
ACH-002687,-0.3276974607634985,WM3772F,Ocular Melanoma,Eye,Ocular Melanoma,5.509379148914689,Other
ACH-002693,0.0052949684840013,S462,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,6.136888607903066,Other
ACH-002710,-0.0876962050654916,MPNST724,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,4.9429835981871015,Other
ACH-002785,-0.0196698421021913,NCCLMS1C1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma,5.0192571186810815,Other
ACH-002799,-0.1130640105575414,NCCMPNST1C1,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,4.20633064787105,Other
ACH-002800,-0.0842078507780802,NCCMPNST2C1,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,4.553360503335328,Other
ACH-002834,-0.1843121728136187,PSS131R,Osteosarcoma,Bone,Osteosarcoma,5.508428652531857,Other
ACH-002847,-0.0612569517503076,YUHOIN0650,Melanoma,Skin,Melanoma,4.836429131161648,Other
ACH-002650,0.0284479813764025,ETCC016,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,3.604071323668861,Other
ACH-002228,0.0168777646348889,D423MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002460,-0.2350220056048673,HT144SKINFV2,Melanoma,Skin,Melanoma,5.806324057390029,Other
ACH-002458,-0.2915089982776418,HT144SKINFV1,Melanoma,Skin,Melanoma,5.671576448130652,Other
ACH-002230,-0.0150454888056934,D542MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002233,-0.2243408413471962,DIFI,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,,Other
ACH-002234,0.0129671174963746,DOK,"Head and Neck Carcinoma, Other",Head and Neck,"Head and Neck Carcinoma, Other",,Other
ACH-002239,0.0505422787953235,H3118,Salivary Carcinoma,Head and Neck,Salivary Carcinoma,,Other
ACH-002243,0.0407589099494287,HCE4,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,,Other
ACH-002247,-0.1406954046150196,IM9,Non-Cancerous,Myeloid,Non-Cancerous,,Other
ACH-002249,-0.0244343118637114,JHU011,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002250,-0.0148989058373015,JHU022,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002251,-0.0951552035748432,JHU029,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002257,-0.0005540168252478,KINGS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002261,-0.0162974495312788,KPNYS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002263,0.0999998136727433,KYSE220,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,,Other
ACH-002265,0.0431958847000779,LB771HNC,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002269,-0.0777116835416903,LNZTA3WT4,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002459,-0.1563530212269833,HT144SKINFV3,Melanoma,Skin,Melanoma,6.215096120976213,Other
ACH-002278,-0.2261601004582464,NB10,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002282,0.0017154530747574,NB17,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002283,0.0830545860913232,NB5,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002284,-0.1614588650896126,NB6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002285,-0.0597338033497783,NB7,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002291,-0.2026296157817812,NTERA2CLD1,Non-Seminomatous Germ Cell Tumor,Testis,Non-Seminomatous Germ Cell Tumor,6.711770203863191,Other
ACH-002294,-0.0205561334884792,PCI15A,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002295,-0.0247486371461015,PCI30,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002296,0.1007459170327881,PCI38,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002297,-0.0226824242562952,PCI4B,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002298,0.0599343970469315,PCI6A,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002304,-0.0368511944290212,SKMG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002305,0.0702858816003471,SKN3,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002399,0.1154569268335204,21NT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-002446,-0.0017882053087849,CCLFUPGI0005T,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.035183996618336,Other
ACH-002280,-0.1718588712437262,NB13,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-000843,-0.1498528235213106,HARA,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.524502537449162,Other
ACH-001986,0.0579699378286799,NZM42,Melanoma,Skin,Melanoma,4.344828496997441,Other
ACH-001977,0.0019659491740632,NO36,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,4.234194722953812,Other
ACH-001609,-0.1211734245963918,NP3,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.2509615735332185,Other
ACH-001610,-0.3240077481831771,NP5,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.296640944683481,Other
ACH-001611,-0.1805964681989756,NP8,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.487357715311548,Other
