method	algorithm	distance	feature_selection	k	stretch	delta_auc	p_val	cox_anova_pval	cox_anova_chisq	cluster.size	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio	cluster_size_min	cluster_size_max	all_equal	cluster_qual	rank
pam_binary_13	pam	binary	dip_test	13	44	0.01	9.94e-01	NA	NA	106, 84, 200, 190, 82, 113, 68, 97, 168, 72, 68, 188, 1	0	0.93, 0.87, 0.85, 0.9, 0.89, 0.86, 1, 0.94, 0.91, 0.93, 0.96, 0.87, NA	0.64, 0.58, 0.54, 0.61, 0.6, 0.57, 0.7, 0.6, 0.61, 0.64, 0.61, 0.59, NaN	0.63, 0.58, 0.54, 0.61, 0.6, 0.57, 0.7, 0.6, 0.61, 0.64, 0.61, 0.59, NA	0.71	0.6	262.7	-0.01, 0.15, 0.09, 0, 0.05, 0.04, -0.02, 0.09, 0.01, 0.01, 0.06, 0.02, 0	0.04	0.27	0.87	2.41	0.84	NA	NA	9.03e-75	56.62	44
hc_binary_3	hc	binary	dip_test	3	49	0.5	1.34e-04	NA	NA	1425, 11, 1	0	1.11, 0.91, NA	0.7, 0.74, NaN	0.7, 0.77, NA	0.83	0.7	358.78	0.14, 0.09, 0	0.08	0.4	1.1	0.05	0.85	NA	NA	0e+00	56.6	45
pam_binary_7	pam	binary	dip_test	7	35	0.03	1.55e-01	NA	NA	122, 98, 247, 232, 150, 447, 141	0	0.94, 0.98, 0.93, 0.98, 1, 1.03, 0.89	0.63, 0.61, 0.57, 0.64, 0.61, 0.64, 0.6	0.63, 0.61, 0.57, 0.64, 0.61, 0.64, 0.6	0.72	0.62	280.06	0.08, 0.13, 0.08, 0, 0.02, 0.04, 0.09	0.06	0.29	0.99	1.82	0.86	NA	NA	6.86e-88	56.31	46
hc_canberra_2	hc	canberra	dip_test	2	49	0.02	2.57e-01	NA	NA	1436, 1	0	1.11, NA	0.7, NaN	0.71, NA	0.92	0.7	360.68	0.23, 0	0.12	0.66	1.3	0.01	0.77	NA	NA	1.42e-313	56	47
pam_spearman_7	pam	spearman	dip_test	7	37	0.04	2.11e-01	NA	NA	232, 111, 204, 174, 405, 108, 203	0	0.93, 0.93, 1.02, 0.91, 1.03, 0.91, 0.95	0.57, 0.62, 0.62, 0.62, 0.64, 0.61, 0.64	0.57, 0.63, 0.62, 0.62, 0.64, 0.6, 0.63	0.72	0.62	282.2	0.07, 0.1, 0.01, 0.02, 0.03, 0.11, 0.04	0.05	0.29	0.99	1.85	0.86	NA	NA	4.27e-60	56	48
km_euclidean_12	km	euclidean	dip_test	12	45	0.01	9.94e-01	NA	NA	70, 272, 138, 102, 127, 42, 64, 150, 78, 100, 293, 1	0	0.88, 1.06, 0.71, 0.93, 0.82, 0.81, 0.84, 0.81, 0.8, 0.79, 0.94, NA	0.65, 0.71, 0.5, 0.62, 0.58, 0.58, 0.57, 0.55, 0.55, 0.59, 0.6, NaN	0.65, 0.71, 0.5, 0.62, 0.58, 0.58, 0.57, 0.55, 0.56, 0.59, 0.6, NA	0.71	0.6	266.94	-0.04, -0.06, 0.12, 0.05, 0.01, 0.06, 0.06, 0.03, 0.05, 0.05, 0.04, 0	0.03	0.25	0.81	2.24	0.84	NA	NA	6.19e-141	55.68	49
km_euclidean_5	km	euclidean	dip_test	5	42	0.08	2.32e-03	NA	NA	206, 439, 442, 47, 303	0	0.97, 1.06, 0.91, 0.87, 0.92	0.65, 0.71, 0.59, 0.66, 0.6	0.65, 0.71, 0.59, 0.66, 0.6	0.72	0.64	300.14	0.04, -0.05, 0.1, 0, 0.13	0.04	0.2	0.93	1.44	0.88	NA	NA	1.03e-82	55.67	50
hc_pearson_6	hc	pearson	dip_test	6	49	0.29	3.86e-03	NA	NA	1421, 2, 3, 2, 8, 1	0	1.11, 0.71, 0.72, 0.79, 0.88, NA	0.7, 0.71, 0.69, 0.79, 0.72, NaN	0.7, 0.71, 0.71, 0.79, 0.74, NA	0.83	0.7	356.92	0.09, 0.17, 0.13, 0.03, 0.12, 0	0.09	0.41	1.04	0.08	0.84	NA	NA	0e+00	55.46	51
pam_canberra_2	pam	canberra	dip_test	2	39	0.46	1.98e-02	NA	NA	952, 485	0	1.03, 1.05	0.68, 0.65	0.68, 0.65	0.74	0.67	327.51	0.09, 0.12	0.1	0.24	1.1	0.64	0.9	NA	NA	7.12e-35	55.36	52
pam_manhattan_7	pam	manhattan	dip_test	7	39	0.03	3.66e-02	NA	NA	180, 576, 189, 164, 85, 66, 177	0	0.87, 1.06, 0.97, 0.83, 0.91, 0.8, 0.86	0.57, 0.69, 0.66, 0.55, 0.58, 0.58, 0.59	0.57, 0.7, 0.66, 0.55, 0.57, 0.58, 0.59	0.71	0.63	293.99	0.04, -0.04, -0.03, 0.06, 0.11, 0.07, 0.11	0.05	0.26	0.85	1.71	0.89	NA	NA	1.43e-180	55.34	53
km_euclidean_9	km	euclidean	dip_test	9	40	0.02	5.81e-01	NA	NA	109, 272, 130, 128, 148, 172, 85, 105, 288	0	0.93, 1.06, 0.71, 0.95, 0.85, 0.84, 0.8, 0.82, 0.89	0.65, 0.71, 0.5, 0.65, 0.6, 0.56, 0.56, 0.59, 0.59	0.65, 0.71, 0.5, 0.66, 0.6, 0.56, 0.57, 0.59, 0.59	0.71	0.61	274.02	-0.01, -0.06, 0.12, 0.03, 0.01, 0.02, 0.14, 0.04, 0.05	0.04	0.25	0.81	2.11	0.85	NA	NA	8.92e-53	55.2	54
km_euclidean_6	km	euclidean	dip_test	6	43	0.04	3.67e-01	NA	NA	174, 440, 159, 181, 181, 302	0	0.94, 1.06, 0.82, 0.87, 0.89, 0.92	0.64, 0.71, 0.52, 0.61, 0.58, 0.6	0.65, 0.71, 0.51, 0.62, 0.58, 0.6	0.72	0.63	290.19	0.03, -0.05, 0.12, 0.01, 0.02, 0.11	0.04	0.2	0.83	1.71	0.88	NA	NA	1.22e-53	55.02	55
pam_euclidean_9	pam	euclidean	dip_test	9	42	0.02	2.11e-01	NA	NA	164, 155, 415, 137, 130, 199, 67, 92, 78	0	0.85, 1.06, 1, 0.97, 0.85, 0.92, 0.84, 0.83, 0.85	0.57, 0.78, 0.65, 0.66, 0.55, 0.6, 0.59, 0.56, 0.57	0.57, 0.78, 0.65, 0.66, 0.55, 0.6, 0.59, 0.56, 0.57	0.71	0.63	287.75	0.01, -0.08, 0, -0.05, 0.03, 0.07, 0.06, 0.07, 0.12	0.03	0.23	0.74	2.04	0.87	NA	NA	7.09e-114	55.01	56
pam_minkowski_9	pam	minkowski	dip_test	9	42	0.02	2.11e-01	NA	NA	164, 155, 415, 137, 130, 199, 67, 92, 78	0	0.85, 1.06, 1, 0.97, 0.85, 0.92, 0.84, 0.83, 0.85	0.57, 0.78, 0.65, 0.66, 0.55, 0.6, 0.59, 0.56, 0.57	0.57, 0.78, 0.65, 0.66, 0.55, 0.6, 0.59, 0.56, 0.57	0.71	0.63	287.75	0.01, -0.08, 0, -0.05, 0.03, 0.07, 0.06, 0.07, 0.12	0.03	0.23	0.74	2.04	0.87	NA	NA	7.09e-114	55.01	56
km_euclidean_7	km	euclidean	dip_test	7	37	0.03	2.11e-01	NA	NA	172, 285, 146, 109, 159, 171, 395	0	0.94, 1.06, 0.72, 0.95, 0.88, 0.85, 0.94	0.64, 0.72, 0.51, 0.65, 0.61, 0.57, 0.61	0.64, 0.72, 0.5, 0.66, 0.61, 0.57, 0.61	0.72	0.62	282.96	0.03, -0.05, 0.12, 0.02, 0, 0.02, 0.1	0.04	0.25	0.81	1.85	0.86	NA	NA	1.07e-59	54.92	58
hc_pearson_5	hc	pearson	dip_test	5	49	0.25	5.41e-02	NA	NA	1424, 2, 2, 8, 1	0	1.11, 0.71, 0.79, 0.88, NA	0.7, 0.71, 0.79, 0.72, NaN	0.7, 0.71, 0.79, 0.74, NA	0.84	0.7	357.7	0.09, 0.19, 0.04, 0.12, 0	0.09	0.41	1.04	0.06	0.83	NA	NA	0e+00	54.82	59
pam_spearman_6	pam	spearman	dip_test	6	37	0.05	1.55e-01	NA	NA	216, 112, 470, 185, 445, 9	0	1, 1.03, 1, 0.91, 1.03, 0.82	0.66, 0.63, 0.62, 0.62, 0.64, 0.62	0.67, 0.63, 0.62, 0.62, 0.63, 0.61	0.73	0.63	293.88	0, 0.1, 0.04, 0.04, 0.09, 0.08	0.06	0.24	0.99	1.51	0.87	NA	NA	1.36e-149	54.7	60
hc_canberra_4	hc	canberra	dip_test	4	49	0.38	3.86e-03	NA	NA	1396, 7, 33, 1	0	1.11, 0.93, 0.91, NA	0.7, 0.77, 0.69, NaN	0.7, 0.77, 0.69, NA	0.8	0.7	354.5	0.1, 0.07, 0.13, 0	0.08	0.32	1.02	0.15	0.87	NA	NA	0e+00	54.64	61
hc_binary_2	hc	binary	dip_test	2	51	0.02	7.92e-02	NA	NA	1426, 11	0	1.11, 0.91	0.7, 0.74	0.7, 0.77	0.82	0.7	359.37	0.14, 0.09	0.12	0.4	1.1	0.04	0.85	NA	NA	5.89e-305	54.51	62
pam_binary_6	pam	binary	dip_test	6	35	0.06	5.41e-02	NA	NA	213, 101, 310, 254, 338, 221	0	0.94, 0.98, 0.93, 0.93, 1.05, 1.02	0.66, 0.62, 0.58, 0.64, 0.66, 0.6	0.66, 0.62, 0.58, 0.64, 0.65, 0.6	0.72	0.63	288.29	0.01, 0.12, 0.09, 0, 0, 0.08	0.05	0.25	0.98	1.74	0.87	NA	NA	7.08e-30	54.37	63
hc_binary_4	hc	binary	dip_test	4	49	0.34	1.58e-02	NA	NA	1418, 7, 11, 1	0	1.11, 0.93, 0.91, NA	0.7, 0.77, 0.74, NaN	0.7, 0.77, 0.77, NA	0.83	0.7	357.33	0.12, 0.08, 0.09, 0	0.07	0.4	1.06	0.08	0.84	NA	NA	0e+00	54.25	64
pam_manhattan_15	pam	manhattan	dip_test	15	44	0.01	9.06e-01	NA	NA	50, 160, 110, 50, 56, 102, 89, 274, 85, 33, 63, 94, 154, 59, 58	0	0.84, 1.06, 0.85, 0.79, 0.77, 0.83, 0.93, 1, 0.83, 0.85, 0.79, 0.91, 0.82, 0.85, 0.85	0.59, 0.78, 0.52, 0.53, 0.56, 0.54, 0.65, 0.64, 0.55, 0.62, 0.57, 0.64, 0.56, 0.54, 0.56	0.59, 0.79, 0.52, 0.53, 0.56, 0.53, 0.65, 0.64, 0.54, 0.63, 0.57, 0.64, 0.56, 0.54, 0.56	0.71	0.61	270.93	0.03, -0.12, 0.03, 0.19, 0.04, 0.02, -0.07, -0.03, 0.06, -0.01, 0.06, -0.06, 0.07, 0.15, 0.1	0.03	0.21	0.71	2.55	0.85	NA	NA	1.29e-109	54.18	65
km_euclidean_10	km	euclidean	dip_test	10	44	0.01	9.67e-01	NA	NA	127, 274, 127, 118, 150, 162, 80, 111, 280, 8	0	0.93, 1.06, 0.7, 0.95, 0.85, 0.81, 0.8, 0.92, 0.89, 0.7	0.65, 0.71, 0.5, 0.64, 0.6, 0.55, 0.56, 0.6, 0.59, 0.59	0.65, 0.71, 0.5, 0.65, 0.6, 0.55, 0.56, 0.6, 0.59, 0.59	0.71	0.61	272.79	-0.02, -0.06, 0.11, 0.04, -0.01, 0.03, 0.14, 0.04, 0.05, 0.06	0.04	0.25	0.8	2.14	0.85	NA	NA	2.33e-85	54.09	66
pam_spearman_5	pam	spearman	dip_test	5	34	0.05	1.58e-02	NA	NA	459, 121, 191, 441, 225	0	1.02, 0.97, 0.95, 1.01, 1	0.62, 0.63, 0.64, 0.63, 0.67	0.62, 0.64, 0.64, 0.63, 0.67	0.73	0.63	294.68	0.06, 0.1, 0.04, 0.1, 0.02	0.06	0.24	0.99	1.49	0.87	NA	NA	1.81e-69	54	67
hc_pearson_7	hc	pearson	dip_test	7	49	0.24	6.3e-03	NA	NA	1421, 2, 3, 2, 7, 1, 1	0	1.11, 0.71, 0.72, 0.79, 0.83, NA, NA	0.7, 0.71, 0.69, 0.79, 0.71, NaN, NaN	0.7, 0.71, 0.71, 0.79, 0.73, NA, NA	0.84	0.7	356.57	0.08, 0.15, 0.13, 0.03, 0.14, 0, 0	0.07	0.41	1.03	0.08	0.84	NA	NA	0e+00	53.87	68
pam_euclidean_7	pam	euclidean	dip_test	7	39	0.05	1.11e-01	NA	NA	201, 158, 419, 189, 194, 90, 186	0	0.88, 1.06, 1, 0.88, 0.97, 0.86, 0.88	0.58, 0.78, 0.65, 0.57, 0.66, 0.58, 0.59	0.58, 0.78, 0.65, 0.57, 0.67, 0.58, 0.59	0.72	0.63	293.8	0.04, -0.07, 0, 0.05, -0.03, 0.13, 0.08	0.03	0.23	0.77	1.85	0.88	NA	NA	3.15e-62	53.7	69
pam_minkowski_7	pam	minkowski	dip_test	7	39	0.05	1.11e-01	NA	NA	201, 158, 419, 189, 194, 90, 186	0	0.88, 1.06, 1, 0.88, 0.97, 0.86, 0.88	0.58, 0.78, 0.65, 0.57, 0.66, 0.58, 0.59	0.58, 0.78, 0.65, 0.57, 0.67, 0.58, 0.59	0.72	0.63	293.8	0.04, -0.07, 0, 0.05, -0.03, 0.13, 0.08	0.03	0.23	0.77	1.85	0.88	NA	NA	3.15e-62	53.7	69
pam_manhattan_12	pam	manhattan	dip_test	12	42	0.01	8.13e-01	NA	NA	66, 161, 136, 52, 128, 92, 269, 90, 102, 65, 212, 64	0	0.84, 1.06, 0.85, 0.79, 0.86, 0.93, 1, 0.83, 0.88, 0.79, 0.95, 0.85	0.61, 0.78, 0.54, 0.54, 0.56, 0.65, 0.64, 0.55, 0.59, 0.58, 0.6, 0.55	0.61, 0.79, 0.54, 0.53, 0.56, 0.65, 0.64, 0.54, 0.59, 0.58, 0.6, 0.55	0.71	0.61	276.37	0.02, -0.12, 0.04, 0.2, 0, -0.05, -0.02, 0.08, 0.05, 0.07, 0.02, 0.15	0.04	0.21	0.72	2.36	0.86	NA	NA	8.83e-80	53.57	71
pam_euclidean_15	pam	euclidean	dip_test	15	44	0.01	1e+00	NA	NA	55, 144, 119, 47, 69, 99, 87, 100, 203, 63, 84, 93, 149, 65, 60	0	0.84, 1.06, 0.85, 0.76, 0.79, 0.94, 0.83, 0.83, 0.99, 0.84, 0.87, 0.79, 0.96, 0.85, 0.85	0.6, 0.78, 0.54, 0.53, 0.57, 0.67, 0.53, 0.55, 0.65, 0.58, 0.54, 0.57, 0.62, 0.55, 0.57	0.6, 0.78, 0.54, 0.53, 0.57, 0.67, 0.53, 0.55, 0.66, 0.58, 0.54, 0.57, 0.62, 0.55, 0.58	0.71	0.61	269.74	0.02, -0.12, 0.01, 0.2, 0.02, -0.07, 0.03, 0.06, -0.07, 0.06, 0.08, 0.01, -0.04, 0.14, 0.06	0.03	0.23	0.71	2.62	0.85	NA	NA	1.24e-48	53.51	72
pam_minkowski_15	pam	minkowski	dip_test	15	44	0.01	1e+00	NA	NA	55, 144, 119, 47, 69, 99, 87, 100, 203, 63, 84, 93, 149, 65, 60	0	0.84, 1.06, 0.85, 0.76, 0.79, 0.94, 0.83, 0.83, 0.99, 0.84, 0.87, 0.79, 0.96, 0.85, 0.85	0.6, 0.78, 0.54, 0.53, 0.57, 0.67, 0.53, 0.55, 0.65, 0.58, 0.54, 0.57, 0.62, 0.55, 0.57	0.6, 0.78, 0.54, 0.53, 0.57, 0.67, 0.53, 0.55, 0.66, 0.58, 0.54, 0.57, 0.62, 0.55, 0.58	0.71	0.61	269.74	0.02, -0.12, 0.01, 0.2, 0.02, -0.07, 0.03, 0.06, -0.07, 0.06, 0.08, 0.01, -0.04, 0.14, 0.06	0.03	0.23	0.71	2.62	0.85	NA	NA	1.24e-48	53.51	72
km_euclidean_8	km	euclidean	dip_test	8	37	0.02	3.67e-01	NA	NA	179, 276, 128, 132, 146, 191, 112, 273	0	0.94, 1.06, 0.72, 0.95, 0.85, 0.85, 0.92, 0.91	0.64, 0.71, 0.5, 0.65, 0.6, 0.57, 0.6, 0.59	0.64, 0.71, 0.5, 0.66, 0.6, 0.57, 0.6, 0.59	0.72	0.62	278.39	0.02, -0.05, 0.12, 0.02, 0.01, 0.02, 0.04, 0.05	0.03	0.25	0.82	2.03	0.86	NA	NA	2.93e-31	53.35	74
pam_pearson_6	pam	pearson	dip_test	6	37	0.05	2.81e-01	NA	NA	170, 99, 558, 391, 217, 2	0	1, 0.98, 1.02, 1.01, 1.02, 0.7	0.65, 0.61, 0.63, 0.62, 0.65, 0.7	0.65, 0.61, 0.63, 0.62, 0.65, 0.7	0.73	0.63	290.5	0.03, 0.12, 0.07, 0.06, 0.02, -0.04	0.05	0.21	0.96	1.45	0.86	NA	NA	1.46e-183	53.27	75
pam_euclidean_14	pam	euclidean	dip_test	14	43	0.01	9.06e-01	NA	NA	54, 144, 207, 47, 68, 99, 101, 204, 62, 86, 93, 148, 66, 58	0	0.84, 1.06, 0.97, 0.76, 0.79, 0.94, 0.83, 0.99, 0.84, 0.87, 0.79, 0.96, 0.85, 0.85	0.6, 0.78, 0.57, 0.53, 0.57, 0.67, 0.53, 0.65, 0.58, 0.54, 0.57, 0.62, 0.55, 0.57	0.6, 0.78, 0.57, 0.53, 0.57, 0.67, 0.53, 0.66, 0.58, 0.54, 0.58, 0.62, 0.55, 0.57	0.71	0.61	272.99	0.03, -0.11, 0, 0.19, 0.03, -0.07, 0.06, -0.07, 0.07, 0.08, 0.01, -0.04, 0.14, 0.07	0.03	0.23	0.74	2.52	0.86	NA	NA	5.66e-69	53.19	76
pam_minkowski_14	pam	minkowski	dip_test	14	43	0.01	9.06e-01	NA	NA	54, 144, 207, 47, 68, 99, 101, 204, 62, 86, 93, 148, 66, 58	0	0.84, 1.06, 0.97, 0.76, 0.79, 0.94, 0.83, 0.99, 0.84, 0.87, 0.79, 0.96, 0.85, 0.85	0.6, 0.78, 0.57, 0.53, 0.57, 0.67, 0.53, 0.65, 0.58, 0.54, 0.57, 0.62, 0.55, 0.57	0.6, 0.78, 0.57, 0.53, 0.57, 0.67, 0.53, 0.66, 0.58, 0.54, 0.58, 0.62, 0.55, 0.57	0.71	0.61	272.99	0.03, -0.11, 0, 0.19, 0.03, -0.07, 0.06, -0.07, 0.07, 0.08, 0.01, -0.04, 0.14, 0.07	0.03	0.23	0.74	2.52	0.86	NA	NA	5.66e-69	53.19	76
pam_manhattan_14	pam	manhattan	dip_test	14	44	0.01	1e+00	NA	NA	59, 160, 110, 53, 61, 101, 93, 276, 85, 65, 96, 64, 119, 95	0	0.84, 1.06, 0.85, 0.79, 0.79, 0.83, 0.93, 1, 0.83, 0.79, 0.92, 0.85, 0.82, 0.85	0.61, 0.78, 0.52, 0.54, 0.56, 0.53, 0.65, 0.64, 0.55, 0.58, 0.63, 0.55, 0.54, 0.59	0.61, 0.79, 0.52, 0.54, 0.56, 0.53, 0.65, 0.64, 0.54, 0.58, 0.64, 0.55, 0.54, 0.59	0.71	0.61	271.71	0.01, -0.12, 0.03, 0.18, 0.03, 0.02, -0.06, -0.05, 0.06, 0.06, -0.06, 0.14, 0.11, 0.04	0.03	0.21	0.7	2.52	0.85	NA	NA	9.19e-82	53.11	78
hc_euclidean_2	hc	euclidean	dip_test	2	51	0.02	1.98e-02	NA	NA	1431, 6	0	1.11, 0.74	0.7, 0.62	0.71, 0.61	0.76	0.7	360.21	0.08, 0.19	0.13	0.37	1.09	0.03	0.92	NA	NA	2.99e-309	53.07	79
hc_minkowski_2	hc	minkowski	dip_test	2	51	0.02	1.98e-02	NA	NA	1431, 6	0	1.11, 0.74	0.7, 0.62	0.71, 0.61	0.76	0.7	360.21	0.08, 0.19	0.13	0.37	1.09	0.03	0.92	NA	NA	2.99e-309	53.07	79
pam_spearman_9	pam	spearman	dip_test	9	40	0.02	9.06e-01	NA	NA	224, 96, 174, 141, 112, 275, 96, 199, 120	0	0.87, 0.92, 0.88, 0.89, 1.01, 0.98, 0.89, 0.94, 0.93	0.57, 0.6, 0.61, 0.59, 0.72, 0.61, 0.59, 0.63, 0.63	0.56, 0.6, 0.61, 0.59, 0.72, 0.61, 0.59, 0.63, 0.62	0.72	0.61	274.43	0.06, 0.13, 0.02, 0.04, -0.05, 0.03, 0.12, 0, 0.05	0.05	0.21	0.86	2.13	0.86	NA	NA	2.43e-38	53.03	81
hc_spearman_4	hc	spearman	dip_test	4	49	0.3	2.32e-03	NA	NA	1424, 8, 4, 1	0	1.11, 0.91, 0.89, NA	0.7, 0.74, 0.81, NaN	0.7, 0.76, 0.81, NA	0.83	0.7	358.32	0.11, 0.11, 0.02, 0	0.06	0.4	1.02	0.06	0.84	NA	NA	0e+00	53.02	82
hc_spearman_5	hc	spearman	dip_test	5	48	0.22	2.11e-01	NA	NA	1428, 2, 2, 1, 4	0	1.11, 0.79, 0.71, NA, 0.75	0.7, 0.79, 0.71, NaN, 0.62	0.7, 0.79, 0.71, NA, 0.61	0.84	0.7	358.32	0.09, 0.04, 0.12, 0, 0.25	0.1	0.41	1.04	0.05	0.84	NA	NA	0e+00	52.95	83
pam_spearman_10	pam	spearman	dip_test	10	40	0.01	9.94e-01	NA	NA	5, 93, 162, 85, 183, 132, 475, 92, 80, 130	0	0.72, 0.92, 0.86, 0.89, 0.87, 0.89, 1.03, 1.01, 0.85, 0.95	0.62, 0.6, 0.6, 0.6, 0.54, 0.59, 0.63, 0.7, 0.57, 0.63	0.61, 0.6, 0.59, 0.61, 0.54, 0.58, 0.63, 0.7, 0.57, 0.63	0.72	0.61	271.16	0.04, 0.13, 0.01, 0.04, 0.08, 0.03, 0.06, -0.04, 0.13, 0.04	0.05	0.29	0.87	2.01	0.85	NA	NA	7.32e-210	52.81	84
pam_spearman_2	pam	spearman	dip_test	2	30	0.5	1.98e-02	NA	NA	678, 759	0	1.07, 1	0.67, 0.66	0.67, 0.66	0.74	0.66	322.33	0.1, 0.12	0.11	0.24	1.11	0.69	0.89	NA	NA	3.26e-02	52.6	85
pam_euclidean_13	pam	euclidean	dip_test	13	44	0.01	1e+00	NA	NA	54, 144, 199, 46, 65, 107, 102, 224, 63, 114, 192, 67, 60	0	0.84, 1.06, 0.97, 0.76, 0.79, 0.94, 0.83, 0.99, 0.84, 0.79, 0.96, 0.85, 0.85	0.6, 0.78, 0.56, 0.53, 0.57, 0.67, 0.53, 0.65, 0.58, 0.57, 0.61, 0.55, 0.57	0.6, 0.78, 0.56, 0.53, 0.57, 0.67, 0.53, 0.65, 0.58, 0.57, 0.61, 0.55, 0.58	0.71	0.61	275.11	0.03, -0.11, 0.01, 0.21, 0.03, -0.07, 0.05, -0.04, 0.06, 0.05, 0, 0.14, 0.06	0.03	0.23	0.74	2.43	0.86	NA	NA	4.52e-79	52.52	86
pam_minkowski_13	pam	minkowski	dip_test	13	44	0.01	1e+00	NA	NA	54, 144, 199, 46, 65, 107, 102, 224, 63, 114, 192, 67, 60	0	0.84, 1.06, 0.97, 0.76, 0.79, 0.94, 0.83, 0.99, 0.84, 0.79, 0.96, 0.85, 0.85	0.6, 0.78, 0.56, 0.53, 0.57, 0.67, 0.53, 0.65, 0.58, 0.57, 0.61, 0.55, 0.57	0.6, 0.78, 0.56, 0.53, 0.57, 0.67, 0.53, 0.65, 0.58, 0.57, 0.61, 0.55, 0.58	0.71	0.61	275.11	0.03, -0.11, 0.01, 0.21, 0.03, -0.07, 0.05, -0.04, 0.06, 0.05, 0, 0.14, 0.06	0.03	0.23	0.74	2.43	0.86	NA	NA	4.52e-79	52.52	86
pam_euclidean_12	pam	euclidean	dip_test	12	43	0.01	9.94e-01	NA	NA	48, 144, 142, 46, 113, 121, 412, 93, 69, 114, 74, 61	0	0.8, 1.06, 0.85, 0.84, 0.94, 0.84, 0.99, 0.83, 0.86, 0.79, 0.85, 0.85	0.59, 0.78, 0.55, 0.53, 0.66, 0.55, 0.64, 0.56, 0.59, 0.57, 0.56, 0.57	0.6, 0.78, 0.55, 0.53, 0.66, 0.54, 0.64, 0.56, 0.59, 0.57, 0.56, 0.58	0.71	0.61	276.63	0.05, -0.11, 0.02, 0.2, -0.07, 0.02, -0.03, 0.07, 0.05, 0.07, 0.12, 0.06	0.04	0.23	0.72	2.26	0.86	NA	NA	9.67e-183	52.42	88
pam_minkowski_12	pam	minkowski	dip_test	12	43	0.01	9.94e-01	NA	NA	48, 144, 142, 46, 113, 121, 412, 93, 69, 114, 74, 61	0	0.8, 1.06, 0.85, 0.84, 0.94, 0.84, 0.99, 0.83, 0.86, 0.79, 0.85, 0.85	0.59, 0.78, 0.55, 0.53, 0.66, 0.55, 0.64, 0.56, 0.59, 0.57, 0.56, 0.57	0.6, 0.78, 0.55, 0.53, 0.66, 0.54, 0.64, 0.56, 0.59, 0.57, 0.56, 0.58	0.71	0.61	276.63	0.05, -0.11, 0.02, 0.2, -0.07, 0.02, -0.03, 0.07, 0.05, 0.07, 0.12, 0.06	0.04	0.23	0.72	2.26	0.86	NA	NA	9.67e-183	52.42	88
hc_spearman_8	hc	spearman	dip_test	8	48	0.29	2.43e-02	NA	NA	1416, 11, 1, 2, 1, 4, 1, 1	0	1.11, 0.74, NA, 0.71, NA, 0.75, NA, NA	0.7, 0.58, NaN, 0.71, NaN, 0.62, NaN, NaN	0.7, 0.57, NA, 0.71, NA, 0.61, NA, NA	0.79	0.7	355.76	0.04, 0.21, 0, 0.1, 0, 0.25, 0, 0	0.08	0.41	1.06	0.1	0.88	NA	NA	0e+00	52.34	90
pam_manhattan_13	pam	manhattan	dip_test	13	43	0.01	9.94e-01	NA	NA	57, 160, 112, 53, 161, 93, 269, 85, 99, 65, 99, 65, 119	0	0.84, 1.06, 0.85, 0.79, 0.87, 0.93, 1, 0.83, 0.85, 0.79, 0.92, 0.87, 0.82	0.6, 0.78, 0.52, 0.54, 0.57, 0.65, 0.64, 0.55, 0.59, 0.58, 0.63, 0.55, 0.54	0.61, 0.79, 0.52, 0.54, 0.57, 0.65, 0.64, 0.54, 0.59, 0.58, 0.64, 0.55, 0.54	0.71	0.61	273.78	0.03, -0.12, 0.06, 0.18, -0.02, -0.05, -0.05, 0.06, 0.04, 0.07, -0.06, 0.14, 0.11	0.03	0.21	0.72	2.45	0.86	NA	NA	2.19e-73	52.14	91
hc_spearman_7	hc	spearman	dip_test	7	48	0.28	2.11e-01	NA	NA	1423, 4, 2, 2, 1, 4, 1	0	1.11, 0.87, 0.79, 0.71, NA, 0.75, NA	0.7, 0.7, 0.79, 0.71, NaN, 0.62, NaN	0.7, 0.66, 0.79, 0.71, NA, 0.61, NA	0.83	0.7	356.9	0.07, 0.1, 0.04, 0.12, 0, 0.22, 0	0.08	0.4	1.01	0.07	0.84	NA	NA	0e+00	51.88	92
hc_manhattan_2	hc	manhattan	dip_test	2	49	0.02	1.98e-02	NA	NA	1431, 6	0	1.11, 0.74	0.7, 0.62	0.71, 0.61	0.76	0.7	360.21	0.08, 0.19	0.13	0.37	1.09	0.03	0.92	NA	NA	2.99e-309	51.78	93
pam_binary_2	pam	binary	dip_test	2	32	0.49	1.98e-02	NA	NA	827, 610	0	1.03, 1.05	0.66, 0.67	0.67, 0.67	0.74	0.67	324.52	0.1, 0.1	0.1	0.26	1.11	0.68	0.9	NA	NA	1.04e-08	51.76	94
pam_manhattan_2	pam	manhattan	dip_test	2	37	0.49	1.98e-02	NA	NA	622, 815	0	0.97, 1.11	0.63, 0.7	0.64, 0.7	0.73	0.67	331.84	0.13, 0.04	0.08	0.28	1.04	0.68	0.92	NA	NA	3.56e-07	51.71	95
