gene,control-XX,control-FB,control-BR,control-BC,control-BS,NC_pub,NC_pub,NC_pub,SRR4787052
ENSG00000200132_RNU6-1021P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200135_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200138_RNY1P10,0.00,0.00,0.00,0.00,0.00,0.00,3.40,1.46,0.00
ENSG00000200139_RNU6-778P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200142_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200146_RNU6-544P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200150_SNORD113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200151_RN7SKP231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200152_RNU6-216P,0.00,7.50,0.00,0.00,0.00,2.95,0.00,0.00,0.00
ENSG00000200153_RNU6-23P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200156_RNU5B-1,0.00,3.50,0.00,0.00,36.62,0.00,0.00,0.00,412.42
ENSG00000200161_RN7SKP145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200162_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200163_SNORD115-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200164_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200168_RNA5SP350,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200169_RNU5D-1,0.00,0.00,0.00,0.00,0.00,2.09,0.00,0.00,0.00
ENSG00000200170_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,12.42,1.07,0.00
ENSG00000200171_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200174_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200175_RNU6-1309P,0.00,0.00,0.00,0.00,0.00,0.00,3.91,0.84,0.00
ENSG00000200176_RNU1-19P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200179_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200183_RNU6-238P,0.00,0.00,0.00,0.00,0.00,0.00,2.08,0.00,0.00
ENSG00000200184_RNU1-20P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200189_RNU6-832P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200191_U8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200197_RNU1-21P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200198_RN7SKP211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200201_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200204_RNU1-22P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200206_SNORD74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200208_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200209_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200211_RNY4P27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200213_RNU6-992P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200215_SNORD113-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200216_RNU6-745P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200217_RNU6-839P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200218_RNU6-697P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200220_RNU6-179P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200222_U3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200224_RNU6-626P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200225_RNA5SP382,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200227_RNA5SP197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200231_RNU1-23P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200235_SNORA27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200237_SNORA70,0.00,7.11,4.12,0.00,0.00,0.00,1.10,0.00,0.00
ENSG00000200238_RNA5SP133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200241_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200243_RN7SKP79,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.80
ENSG00000200246_RNA5SP263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200247_RNU6-254P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200248_RNA5SP214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200250_RNU6-1147P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200252_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200253_RNU6-529P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200254_RNU6-536P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200256_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00
ENSG00000200257_RNU6-97P,0.00,0.00,0.00,0.00,0.00,8.85,2.23,0.96,0.00
ENSG00000200259_SNORD35A,0.00,0.00,0.00,0.00,0.00,0.00,2.37,0.00,0.00
ENSG00000200261_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200262_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200267_RNU6-66P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200269_RNU6-838P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200274_RNU4-32P,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200275_RNA5SP199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200278_RNA5SP352,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200279_SNORD114-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200281_RNU6-624P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200283_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200287_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200288_SNORA18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200291_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200293_RNA5SP393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200294_SNORA36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200295_RNU6-527P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200296_RNU1-83P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200298_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200301_RNA5SP483,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00
ENSG00000200303_RNU6-940P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200304_RNU6-1255P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200305_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200309_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200310_RNA5SP215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200312_RN7SKP255,0.14,0.00,0.00,0.00,0.00,77.59,166.15,69.85,14.30
ENSG00000200313_RNA5-8SP7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200314_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200318_U3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200320_SNORA63,0.00,5.35,6.29,0.00,0.00,53.28,9.88,10.17,7806.62
ENSG00000200325_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200326_RNA5SP391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200327_RNA5SP62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200331_RNU6-183P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200332_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.08,0.00
ENSG00000200334_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200336_RNA5SP333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200338_RNU1-49P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200340_RNU1-105P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200343_RNA5S8,0.00,0.00,0.00,0.00,0.00,3.04,0.09,0.28,0.00
ENSG00000200344_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200345_RNU6-485P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200350_RNU6-1285P,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00
ENSG00000200351_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200354_SNORA71D,0.00,0.00,0.00,0.00,0.00,14.49,0.00,0.94,35.43
ENSG00000200355_SNORA72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200356_RNU6-833P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200360_RNU6-792P,0.00,0.00,0.00,0.00,0.00,0.00,4.04,0.00,0.00
ENSG00000200361_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200366_RNU6-511P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200367_SNORD113-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200369_RNU6-666P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200370_RNA5S17,0.00,0.00,0.00,0.00,0.00,3.04,0.09,0.28,0.00
ENSG00000200372_RNU5E-8P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200376_RNU5E-10P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200377_SNORD56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200378_RNU5B-4P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200379_RN7SKP45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200381_RNA5S4,0.00,0.00,0.00,0.00,0.00,3.04,0.09,0.28,0.00
ENSG00000200385_SNORA42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200388_RNU6-618P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200389_RNU6-509P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200390_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200391_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200393_RNU6-698P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200394_SNORA38B,0.00,0.00,0.00,0.00,0.00,7.64,1.15,0.50,57.98
ENSG00000200397_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,14.35,0.00,0.00
ENSG00000200398_SNORD115-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200403_RNU6-1099P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200406_SNORD114-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200407_RNU6-1169P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200408_RNA5SP74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200411_RNA5SP346,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200413_SNORD114-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200418_SNORA63,0.00,0.00,0.00,0.00,2.11,0.00,0.00,0.00,0.00
ENSG00000200419_Y_RNA,0.00,0.00,0.00,0.00,0.00,47.51,2.39,0.00,0.00
ENSG00000200421_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200422_SNORD45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200424_RNU6-1155P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200427_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200428_Y_RNA,0.00,0.00,0.00,0.00,0.00,6.11,3.08,0.00,0.00
ENSG00000200431_RNU4-81P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200432_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200434_RNA5-8SP2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200436_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00
ENSG00000200437_RNU6-799P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200443_RNU6-1066P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200444_RNU6-1339P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200446_RNU6-1085P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200448_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200455_RNU6-1112P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200456_RNU6-1097P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200462_RNU6-727P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200463_SNORD118,0.00,0.00,0.00,0.00,0.00,4.61,15.70,4.14,16.24
ENSG00000200468_RNA5SP403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200469_RNU6-112P,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00
ENSG00000200471_RNU6-1125P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200472_RN7SKP44,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00
ENSG00000200473_RNA5SP507,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200475_RN7SKP162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200478_SNORD115-41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200480_SNORD114-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200483_RNU6-1017P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200484_RNU6-1244P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200485_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200486_SNORD115-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200487_RNA5SP322,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200488_RN7SKP203,0.00,0.00,0.00,0.00,0.00,8.92,7.32,4.39,63.95
ENSG00000200492_U3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200494_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200495_RNU6-1205P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200496_U8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200502_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200503_SNORD115-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200506_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200508_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200516_RNA5SP378,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200520_RNU6-1214P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00
ENSG00000200521_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200522_RNU6-957P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200525_RNU6-1209P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200526_RNY4P14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200527_RNA5SP457,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200528_RNU6-1331P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200530_SNORD35B,0.00,0.00,0.00,0.00,0.00,12.57,6.14,0.00,0.00
ENSG00000200534_SNORA33,0.00,0.00,0.00,0.00,0.00,1.55,11.74,2.02,8.74
ENSG00000200536_SNORA25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200537_RNY4P6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200538_U3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200544_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200545_U3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200547_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200550_RNU6-137P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200552_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200553_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200554_RNU6-1020P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200555_RNU6-525P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200556_RNU6-103P,0.00,12.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200558_RNA5SP429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200560_RNU6-288P,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00
ENSG00000200563_RNU6-640P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200564_SNORD115-39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200566_RNU5F-7P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200570_RNU6-829P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200571_RNU6-1284P,0.00,0.00,0.00,0.00,0.00,17.10,15.50,1.11,0.00
ENSG00000200572_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200575_RNU6-414P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200579_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200587_RNA5SP514,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200591_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200593_SNORD115-33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200594_RNU6-824P,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00
ENSG00000200597_RNU1-87P,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,7.57
ENSG00000200600_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200601_RNA5SP50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200605_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200608_SNORD114-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200610_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200612_SNORD114-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200613_RNA5SP349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200615_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200616_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200619_RNA5SP447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200620_SNORA7,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.00,0.00
ENSG00000200622_RNU6-1059P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200623_SNORD18A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200624_RNA5S6,0.00,0.00,0.00,0.00,0.00,3.04,0.09,0.28,0.00
ENSG00000200626_RNA5SP325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200629_RNY1P11,0.00,8.31,0.00,0.00,0.00,0.00,10.20,0.73,0.00
ENSG00000200630_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200632_SNORD113-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200635_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200636_SNORD114-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200637_RNU5F-3P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200638_SNORD115-37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200645_RNU6-1210P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200646_Y_RNA,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200648_RNU6-226P,0.00,0.00,0.00,0.00,0.00,21.38,2.02,0.87,0.00
ENSG00000200650_RNA5SP114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200651_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200652_SNORA25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200653_RNU4-92P,0.00,0.00,5.09,8.18,0.00,0.00,0.00,0.00,0.00
ENSG00000200656_SNORA5B,0.00,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200661_SNORD116-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200664_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200665_RNU6-1188P,0.00,0.00,0.00,0.00,0.00,0.00,22.20,2.60,0.00
ENSG00000200670_RNU6-912P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200673_RN7SKP174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200674_RN7SKP160,0.00,0.00,0.12,0.94,0.00,0.00,0.00,0.00,0.00
ENSG00000200677_SNORD18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200680_SNORD115-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200681_RNU6-263P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200683_RNU6-379P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200685_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200686_RNY3P3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200687_RNA5SP335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200688_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200693_U3,9.39,2.62,0.50,0.63,0.00,0.00,0.00,1.29,0.00
ENSG00000200701_RNU6-674P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200702_Y_RNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200703_RNU6-873P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200706_SNORD45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200708_RN7SKP93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200709_RNA5SP27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000200711_RNA5SP28,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00
