gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str	flip
PPP5C	PPP5C_46383411-46383476	0.289222222222222	0.0793217778699169	9		chr19:46383411-46383476	+	0
TMEM107	TMEM107_8175959-8176026	0.411444444444444	0.0654352945876901	9		chr17:8175959-8176026	-	0
ALOX12-AS1	ALOX12-AS1_7002484-7002620	0.315571428571429	0.0388752583822373	7		chr17:7002484-7002620	-	0
WSCD1	WSCD1_6095102-6095223	0.367	0.113094650625041	6		chr17:6095102-6095223	+	0
MIS12	MIS12_5488196-5488589	0.355222222222222	0.151167769198478	9		chr17:5488196-5488589	+	0
ZNF232	ZNF232_5111076-5111219	0.453111111111111	0.0662163960897232	9		chr17:5111076-5111219	-	0
P2RX5-TAX1BP3	P2RX5-TAX1BP3_3689492-3689630	0.2465	0.0360624458405139	2		chr17:3689492-3689630	-	0
CTNS	CTNS_3647444-3647522	0.3253125	0.124505806424172	16		chr17:3647444-3647522	+	0
GEMIN4	GEMIN4_749814-749909	0.710363636363636	0.171059213564936	11		chr17:749814-749909	-	0
AFG3L1P	AFG3L1P_89985446-89985570	0.745475	0.153839741372771	40		chr16:89985446-89985570	+	0
CDK10	CDK10_89689252-89689306	0.514	0.0526948764112793	9		chr16:89689252-89689306	+	0
CDK10	CDK10_89689252-89689324	0.366652173913043	0.13830717088346	23		chr16:89689252-89689324	+	0
TAF1C	TAF1C_84185480-84185583	0.400227272727273	0.0211867264681337	44		chr16:84185480-84185583	-	0
CMC2	CMC2_80981806-80981877	0.372272727272727	0.150155215509115	22		chr16:80981806-80981877	-	0
CMC2	CMC2_81001248-81001334	0.3125	0.0600226808983256	10		chr16:81001248-81001334	-	0
CHST6	CHST6_75478533-75479844	0.527	0.0947523086789973	2		chr16:75478533-75479844	-	0
RFWD3	RFWD3_74664624-74664745	0.419666666666667	0.0860854788998665	63		chr16:74664624-74664745	-	0
RFWD3	RFWD3_74664690-74664745	0.758875	0.149142648311791	56		chr16:74664690-74664745	-	0
CCT6B	CCT6B_34958560-34958694	0.472777777777778	0.152315279747123	9		chr17:34958560-34958694	-	0
ZNF19	ZNF19_71514004-71514157	0.760151515151515	0.159861096192155	33		chr16:71514004-71514157	-	0
AC010547.4	AC010547.4_71453243-71453350	0.2738	0.114127998317678	5		chr16:71453243-71453350	-	0
ST3GAL2	ST3GAL2_70400696-70401094	0.467096153846154	0.0559443910224951	52		chr16:70400696-70401094	-	0
C16orf86	C16orf86_67667227-67667525	0.417628571428571	0.132223092606728	35		chr16:67667227-67667525	+	0
C16orf86	C16orf86_67667296-67667525	0.306692307692308	0.0931501021924374	26		chr16:67667296-67667525	+	0
CKLF-CMTM1	CKLF-CMTM1_66558190-66558348	0.279125	0.0616373069552495	24		chr16:66558190-66558348	+	0
CKLF-CMTM1	CKLF-CMTM1_66563122-66563217	0.25875	0.059337312600645	4		chr16:66563122-66563217	+	0
KLHDC4	KLHDC4_87755194-87755292	0.478	0.11754431788337	4		chr16:87755194-87755292	-	0
ADGRG1	ADGRG1_57641591-57641708	0.2315	0.0162844041395999	12		chr16:57641591-57641708	+	0
NLRC5	NLRC5_57055433-57055519	0.366857142857143	0.0816633399935436	14		chr16:57055433-57055519	+	0
NLRC5	NLRC5_57055436-57055519	0.427933333333333	0.118242164745955	15		chr16:57055436-57055519	+	0
MAFTRR	MAFTRR_79740147-79740237	0.6072	0.139576183896505	10		chr16:79740147-79740237	-	0
MAFTRR	MAFTRR_79757651-79757715	0.681952380952381	0.181069731371777	21		chr16:79757651-79757715	-	0
KIFC3	KIFC3_57759125-57759153	0.314161290322581	0.109908172815368	31		chr16:57759125-57759153	-	0
ZNF133	ZNF133_18305008-18305178	0.4396	0.113674193299193	10		chr20:18305008-18305178	+	0
BOLA2-SMG1P6	BOLA2-SMG1P6_29450112-29450276	0.623103448275862	0.112238058489084	29		chr16:29450112-29450276	-	0
AC025279.2	AC025279.2_29320928-29321095	0.421666666666667	0.127809940741638	15		chr16:29320928-29321095	+	0
C16orf46	C16orf46_81063746-81063993	0.668895833333333	0.163076569873921	48		chr16:81063746-81063993	-	0
CLN3	CLN3_28487456-28487541	0.452625	0.128653396490615	8		chr16:28487456-28487541	-	0
VWA3A	VWA3A_22123613-22123707	0.39725	0.0868230960056136	4		chr16:22123613-22123707	+	0
VWA3A	VWA3A_22141203-22141249	0.913173913043478	0.0608550081407461	23		chr16:22141203-22141249	+	1
NFATC3	NFATC3_68214329-68214432	0.335285714285714	0.104972558772463	7		chr16:68214329-68214432	+	0
IQCK	IQCK_19763848-19764112	0.35903125	0.121976593305913	32		chr16:19763848-19764112	+	0
CCP110	CCP110_19548515-19548600	0.338538461538462	0.0675231698125796	26		chr16:19548515-19548600	+	0
SMG1	SMG1_18899987-18900044	0.413944444444444	0.092973413165031	18		chr16:18899987-18900044	-	0
NRSN2	NRSN2_349638-349832	0.241636363636364	0.0283840544224138	11		chr20:349638-349832	+	0
KIAA0895L	KIAA0895L_67180041-67180666	0.3195	0.0487903679018718	2		chr16:67180041-67180666	-	0
LINC00320	LINC00320_20786036-20786088	0.364571428571429	0.0285181646373976	7		chr21:20786036-20786088	-	0
TVP23A	TVP23A_10766038-10766643	0.680454545454545	0.136228751470726	11		chr16:10766038-10766643	-	0
CLUAP1	CLUAP1_3533099-3533155	0.323603174603175	0.0246978774604148	63		chr16:3533099-3533155	+	0
HCFC1R1	HCFC1R1_3023474-3023530	0.340185185185185	0.107742226932561	27		chr16:3023474-3023530	-	0
PDPK1	PDPK1_2577425-2577500	0.372	0.0949452473797399	11		chr16:2577425-2577500	+	0
CRAMP1	CRAMP1_1666073-1666177	0.371	0.117838533595764	26		chr16:1666073-1666177	+	0
CRAMP1	CRAMP1_1667335-1667400	0.319578947368421	0.111717061160711	19		chr16:1667335-1667400	+	0
METTL26	METTL26_635281-635340	0.374761904761905	0.160692527111419	42		chr16:635281-635340	-	0
PIGQ	PIGQ_581199-581341	0.227173913043478	0.0128298379990943	23		chr16:581199-581341	+	0
DECR2	DECR2_406685-406833	0.297555555555556	0.0675168703197784	9		chr16:406685-406833	+	0
WASH3P	WASH3P_101972583-101972694	0.481571428571429	0.0912094136745607	21		chr15:101972583-101972694	+	0
WASH3P	WASH3P_101972596-101972694	0.48344	0.0872047781565513	25		chr15:101972596-101972694	+	0
PRR29	PRR29_63998968-63999074	0.435	0.23497446669798	3		chr17:63998968-63999074	+	0
PRR29	PRR29_64001084-64001310	0.454666666666667	0.285365263010993	3		chr17:64001084-64001310	+	0
PCSK6	PCSK6_101331651-101331689	0.28248275862069	0.0490434360612066	29		chr15:101331651-101331689	-	0
LINS1	LINS1_100586224-100586332	0.860731343283582	0.0971085899657592	67		chr15:100586224-100586332	-	1
MEF2A	MEF2A_99598430-99598511	0.360292682926829	0.165513631448053	41		chr15:99598430-99598511	+	0
TTC23	TTC23_99241365-99241559	0.524326923076923	0.114736991855943	52		chr15:99241365-99241559	-	0
AP3S2	AP3S2_89878265-89878300	0.709694915254237	0.180513277211295	59		chr15:89878265-89878300	-	0
PEX11A	PEX11A_89686431-89686546	0.277	0.0212132034355964	2		chr15:89686431-89686546	-	0
MIR9-3HG	MIR9-3HG_89388484-89388581	0.384486486486486	0.152212136620358	37		chr15:89388484-89388581	+	0
MIR9-3HG	MIR9-3HG_89388501-89388581	0.304769230769231	0.1258148823287	26		chr15:89388501-89388581	+	0
MIR9-3HG	MIR9-3HG_89388504-89388581	0.352066666666667	0.144349894194707	30		chr15:89388504-89388581	+	0
MIR9-3HG	MIR9-3HG_89388504-89388746	0.662558139534884	0.162329075282805	43		chr15:89388504-89388746	+	0
MESD	MESD_80970462-80970659	0.534828571428571	0.150708227207074	35		chr15:80970462-80970659	-	0
AC002316.1	AC002316.1_2962670-2962714	0.434	0.131363479081378	12		chr17:2962670-2962714	+	0
SIN3A	SIN3A_75436346-75436443	0.538921052631579	0.169735785390428	38		chr15:75436346-75436443	-	0
NEO1	NEO1_73274692-73274724	0.256	0.0741432012103219	29		chr15:73274692-73274724	+	0
NEO1	NEO1_73293390-73293548	0.299318181818182	0.0794309441702344	22		chr15:73293390-73293548	+	0
PARP6	PARP6_72250845-72250957	0.359785714285714	0.156614263311256	14		chr15:72250845-72250957	-	0
PAQR5	PAQR5_69384677-69384882	0.474666666666667	0.169904286781313	6		chr15:69384677-69384882	+	0
PAQR5	PAQR5_69389654-69389780	0.446636363636364	0.127990837740264	11		chr15:69389654-69389780	+	0
PIF1	PIF1_64821367-64821520	0.483666666666667	0.122000546446864	21		chr15:64821367-64821520	-	0
ENOSF1	ENOSF1_677345-677444	0.410636363636364	0.181169132430043	11		chr18:677345-677444	-	0
ENOSF1	ENOSF1_697240-697355	0.3343125	0.0741969643323029	32		chr18:697240-697355	-	0
ZNF280D	ZNF280D_56707082-56707150	0.471538461538462	0.164162325856968	13		chr15:56707082-56707150	-	0
MYO5A	MYO5A_52348818-52348826	0.338520833333333	0.114100923893426	48		chr15:52348818-52348826	-	0
AL133227.1	AL133227.1_46366965-46367036	0.5905	0.185969083452062	2		chr20:46366965-46367036	+	0
CTDSPL2	CTDSPL2_44501962-44502048	0.668263157894737	0.16087809121791	19		chr15:44501962-44502048	+	0
CATSPER2	CATSPER2_43632717-43632934	0.489666666666667	0.0479200723427389	3		chr15:43632717-43632934	-	0
PLCB2	PLCB2_40290025-40290082	0.304181818181818	0.0935850609678897	11		chr15:40290025-40290082	-	0
GOLGA8B	GOLGA8B_34552895-34553091	0.366379310344828	0.139911046687607	29		chr15:34552895-34553091	-	0
GOLGA8B	GOLGA8B_34574825-34574914	0.513537037037037	0.111778371175972	54		chr15:34574825-34574914	-	0
RYR3	RYR3_33816862-33816958	0.310909090909091	0.00361813613493317	11		chr15:33816862-33816958	+	0
CACNA1G	CACNA1G_50569706-50569803	0.295333333333333	0.0549211556081382	3		chr17:50569706-50569803	+	0
NME4	NME4_406685-406777	0.31869696969697	0.0196937249658439	33		chr16:406685-406777	+	0
APOL3	APOL3_36149046-36149142	0.298769230769231	0.0622202456951029	13		chr22:36149046-36149142	-	0
APOL3	APOL3_36149046-36149371	0.351230769230769	0.0777293958188212	13		chr22:36149046-36149371	-	0
HERC2P9	HERC2P9_28612059-28612173	0.3718	0.0965922520593383	20		chr15:28612059-28612173	+	0
HERC2P9	HERC2P9_28618219-28618378	0.490666666666667	0.0297440058222315	18		chr15:28618219-28618378	+	0
SNHG14	SNHG14_24998970-24999078	0.584041666666667	0.120457995264691	24		chr15:24998970-24999078	+	0
SNHG14	SNHG14_25067409-25067531	0.311428571428571	0.0817248577909584	7		chr15:25067409-25067531	+	0
SNHG14	SNHG14_25067412-25067531	0.335125	0.103157906005447	8		chr15:25067412-25067531	+	0
SNHG14	SNHG14_25223059-25223190	0.32525	0.155397072044489	4		chr15:25223059-25223190	+	0
SNHG14	SNHG14_25249014-25249147	0.525909090909091	0.121087947001718	11		chr15:25249014-25249147	+	0
SNRPN	SNRPN_24829798-24829905	0.418833333333333	0.0582594770545245	6		chr15:24829798-24829905	+	0
AL132709.7	AL132709.7_101074481-101074561	0.3495	0.081317279836453	2		chr14:101074481-101074561	-	0
WDR25	WDR25_100380910-100381746	0.348772727272727	0.0918863969071323	44		chr14:100380910-100381746	+	0
UBE2Q2P2	UBE2Q2P2_82400660-82400716	0.409518518518519	0.132190820806186	27		chr15:82400660-82400716	+	0
UBE2Q2P2	UBE2Q2P2_82415528-82415675	0.464428571428571	0.124725527230223	21		chr15:82415528-82415675	+	0
UBE2Q2P2	UBE2Q2P2_82418636-82418792	0.359375	0.0982386852808724	8		chr15:82418636-82418792	+	0
SLC24A4	SLC24A4_92447371-92447424	0.446	0.183966029472835	5		chr14:92447371-92447424	+	0
ATXN3	ATXN3_92093746-92093850	0.42825	0.178947105778961	16		chr14:92093746-92093850	-	0
NRXN3	NRXN3_79692173-79692262	0.55	0.215188870530053	57		chr14:79692173-79692262	+	0
RGN	RGN_47080317-47080936	0.368137931034483	0.0696981882004378	29		chrX:47080317-47080936	+	0
RGN	RGN_47089776-47089991	0.400612903225806	0.0893870525372121	31		chrX:47089776-47089991	+	0
FUT8	FUT8_65479707-65479784	0.209116279069767	0.00428290790360264	43		chr14:65479707-65479784	+	0
SPTB	SPTB_64749654-64749696	0.278	0.00989949493661164	2		chr14:64749654-64749696	-	0
SUN2	SUN2_38754642-38754690	0.266458333333333	0.0291233944012245	24		chr22:38754642-38754690	-	0
SUN2	SUN2_38754642-38754706	0.274125	0.057831094437776	32		chr22:38754642-38754706	-	0
AL133304.3	AL133304.3_36066033-36066169	0.5918	0.208123040531316	5		chr14:36066033-36066169	+	0
RBM23	RBM23_22905606-22905659	0.333586206896552	0.100174318508637	29		chr14:22905606-22905659	-	0
SLC7A7	SLC7A7_22815314-22815451	0.4447	0.126549990122481	10		chr14:22815314-22815451	-	0
RPS6KL1	RPS6KL1_74909101-74909161	0.426222222222222	0.138684812161184	18		chr14:74909101-74909161	-	0
RPS6KL1	RPS6KL1_74909101-74909190	0.33521052631579	0.108627589572697	19		chr14:74909101-74909190	-	0
HNRNPC	HNRNPC_21263311-21263582	0.351596774193549	0.0946665346165625	62		chr14:21263311-21263582	-	0
RNASE1	RNASE1_20802249-20802319	0.387595744680851	0.0686825272301188	47		chr14:20802249-20802319	-	0
RNASE1	RNASE1_20802249-20802331	0.381304347826087	0.0624897750090071	46		chr14:20802249-20802331	-	0
BIVM	BIVM_102805058-102805239	0.634555555555556	0.180467439534189	18		chr13:102805058-102805239	+	0
DZIP1	DZIP1_95599365-95599424	0.341588235294118	0.126082839248413	17		chr13:95599365-95599424	-	0
SLAIN1	SLAIN1_77743016-77743165	0.288666666666667	0.0710545565041398	9		chr13:77743016-77743165	+	0
BORA	BORA_72731281-72731387	0.4404	0.124035120474449	10		chr13:72731281-72731387	+	0
MRPS31P4	MRPS31P4_52632422-52632494	0.385666666666667	0.155067297218552	6		chr13:52632422-52632494	+	0
CHD9	CHD9_53319813-53319951	0.640518518518518	0.138405860917023	27		chr16:53319813-53319951	+	0
ETHE1	ETHE1_43526201-43526349	0.226	0.0197989898732233	2		chr19:43526201-43526349	-	0
RNASEH2B	RNASEH2B_50953905-50953985	0.461333333333333	0.1887413062945	39		chr13:50953905-50953985	+	0
DLEU2	DLEU2_50075559-50075653	0.366208333333333	0.134984050319213	24		chr13:50075559-50075653	-	0
CYSLTR2	CYSLTR2_48693438-48693510	0.5904	0.115742386358672	5		chr13:48693438-48693510	+	0
SUCLA2	SUCLA2_48015171-48015248	0.509117647058824	0.147081664536341	34		chr13:48015171-48015248	-	0
TPT1-AS1	TPT1-AS1_45344305-45344446	0.558666666666667	0.0872872652032739	6		chr13:45344305-45344446	+	0
TPT1-AS1	TPT1-AS1_45344379-45344446	0.551333333333333	0.14442645187084	9		chr13:45344379-45344446	+	0
TPT1-AS1	TPT1-AS1_45360141-45360239	0.613368421052632	0.200091927664158	38		chr13:45360141-45360239	+	0
SUGT1P3	SUGT1P3_40921474-40921531	0.458896551724138	0.1247437639907	58		chr13:40921474-40921531	-	0
POLR1D	POLR1D_27621337-27621437	0.445666666666667	0.0427239199200323	3		chr13:27621337-27621437	+	0
TPTE2P1	TPTE2P1_24940507-24940785	0.7125	0.161712827139774	14		chr13:24940507-24940785	-	0
ZDHHC20	ZDHHC20_21381901-21381945	0.486951612903226	0.136438712286765	62		chr13:21381901-21381945	-	0
EP400P1	EP400P1_132109768-132109832	0.465214285714286	0.152454815927444	28		chr12:132109768-132109832	+	0
RIMBP2	RIMBP2_130424142-130424858	0.9323125	0.0825627571667016	32		chr12:130424142-130424858	-	1
RAPGEFL1	RAPGEFL1_40181299-40181373	0.260875	0.0226869219721722	8		chr17:40181299-40181373	+	0
RAPGEFL1	RAPGEFL1_40193363-40193417	0.2355	0.0445477272147525	2		chr17:40193363-40193417	+	0
CCDC92	CCDC92_123944669-123944740	0.399769230769231	0.122713098793016	26		chr12:123944669-123944740	-	0
CCDC92	CCDC92_123945704-123945800	0.643772727272727	0.248123228182362	22		chr12:123945704-123945800	-	0
ZCCHC8	ZCCHC8_122483279-122483344	0.372928571428571	0.0955457717824002	14		chr12:122483279-122483344	-	0
ZCCHC8	ZCCHC8_122483279-122483563	0.327176470588235	0.126952370642555	17		chr12:122483279-122483563	-	0
CABP1	CABP1_120656093-120656272	0.498333333333333	0.11877317317756	6		chr12:120656093-120656272	+	1
PXN	PXN_120215930-120216090	0.315916666666667	0.0189335303477342	36		chr12:120215930-120216090	-	0
TAOK3	TAOK3_118235795-118236693	0.640161290322581	0.0909552571590293	62		chr12:118235795-118236693	-	0
VSIG10	VSIG10_118102989-118103170	0.618275862068966	0.144812618562257	58		chr12:118102989-118103170	-	0
ATXN2	ATXN2_111516154-111516399	0.387	0.128680690082079	26		chr12:111516154-111516399	-	0
TCTN1	TCTN1_110628052-110628224	0.467	0.155868177922528	10		chr12:110628052-110628224	+	0
PAH	PAH_102846895-102846951	0.354666666666667	0.0647636729450495	3		chr12:102846895-102846951	-	0
VEZT	VEZT_95257154-95257239	0.2535	0.0703185608498923	6		chr12:95257154-95257239	+	0
CRADD	CRADD_93859319-93859442	0.680461538461539	0.139633013508763	26		chr12:93859319-93859442	+	0
METTL25	METTL25_82369449-82369560	0.4539	0.187507896130033	10		chr12:82369449-82369560	+	0
CAPS2	CAPS2_75371079-75371482	0.444125	0.107959791898033	16		chr12:75371079-75371482	-	0
TRHDE-AS1	TRHDE-AS1_72261198-72264621	0.462333333333333	0.230435095706651	3		chr12:72261198-72264621	-	0
TRHDE-AS1	TRHDE-AS1_72264482-72264616	0.668727272727273	0.19988301123862	11		chr12:72264482-72264616	-	1
RBM25	RBM25_73069853-73069920	0.751533333333333	0.185449210092169	15		chr14:73069853-73069920	+	0
RCBTB2	RCBTB2_48521898-48521962	0.579	0.236116007993463	14		chr13:48521898-48521962	-	0
ASB16-AS1	ASB16-AS1_44182930-44183069	0.550916666666667	0.172013983751498	12		chr17:44182930-44183069	-	0
ASB16-AS1	ASB16-AS1_44182930-44183093	0.390076923076923	0.0941421456614602	13		chr17:44182930-44183093	-	0
R3HDM2	R3HDM2_57292572-57292667	0.277095238095238	0.0579093297853677	21		chr12:57292572-57292667	-	0
TEAD2	TEAD2_49355959-49355970	0.39	0.0433820239269677	4		chr19:49355959-49355970	-	0
TMEM198B	TMEM198B_55831257-55831349	0.29504347826087	0.0616068755466831	23		chr12:55831257-55831349	+	0
EFCAB6	EFCAB6_43615826-43615922	0.487529411764706	0.150855111633257	17		chr22:43615826-43615922	-	0
CSAD	CSAD_53171177-53171441	0.671510204081633	0.146021277337839	49		chr12:53171177-53171441	-	0
CSAD	CSAD_53171273-53171441	0.648934782608696	0.154285507661595	46		chr12:53171273-53171441	-	0
CSAD	CSAD_53171326-53171441	0.627515151515152	0.117389874247132	33		chr12:53171326-53171441	-	1
ACVRL1	ACVRL1_51913559-51913770	0.3634	0.0682920200316259	5		chr12:51913559-51913770	+	0
SCN8A	SCN8A_51687091-51687219	0.7505	0.142780550896422	8		chr12:51687091-51687219	+	0
SCN8A	SCN8A_51768113-51768172	0.211	2.83793743030861e-17	23		chr12:51768113-51768172	+	0
KANSL2	KANSL2_48661195-48661243	0.60325	0.0520634228609683	16		chr12:48661195-48661243	-	0
HDAC7	HDAC7_47795906-47796016	0.355022727272727	0.0758178627281729	44		chr12:47795906-47796016	-	0
DNM1L	DNM1L_32737865-32737942	0.357410714285714	0.153999501390658	56		chr12:32737865-32737942	+	0
DNM1L	DNM1L_32738264-32738296	0.401571428571429	0.0754163049188904	7		chr12:32738264-32738296	+	0
CAPRIN2	CAPRIN2_30719079-30719225	0.39606	0.087333844574502	50		chr12:30719079-30719225	-	0
CAPRIN2	CAPRIN2_30719079-30720915	0.338525	0.0942043571043075	40		chr12:30719079-30720915	-	0
CAPRIN2	CAPRIN2_30733629-30733711	0.3788	0.093969327350783	30		chr12:30733629-30733711	-	0
NDUFA3	NDUFA3_54106353-54106446	0.421846153846154	0.195950339077572	26		chr19:54106353-54106446	+	0
KTN1	KTN1_55650569-55650637	0.2429	0.0394586985199574	10		chr14:55650569-55650637	+	0
ZNF415	ZNF415_53122662-53122743	0.30695	0.103958734222059	20		chr19:53122662-53122743	-	0
NECAP1	NECAP1_8091840-8091850	0.371166666666667	0.0395697696059336	6		chr12:8091840-8091850	+	0
CD163L1	CD163L1_7368087-7368197	0.576333333333333	0.0857340850148489	3		chr12:7368087-7368197	-	0
ZNF384	ZNF384_6677167-6677259	0.219	0.0122124058703786	8		chr12:6677167-6677259	-	0
ZNF384	ZNF384_6678663-6678710	0.410238095238095	0.19732812895325	21		chr12:6678663-6678710	-	0
WNK1	WNK1_901561-901653	0.438	0.0551441087267963	56		chr12:901561-901653	+	0
THYN1	THYN1_134248809-134248959	0.2954	0.103319061994525	15		chr11:134248809-134248959	-	0
TIRAP	TIRAP_126288443-126288573	0.833066666666667	0.124635162813404	15		chr11:126288443-126288573	+	1
ACRV1	ACRV1_125676359-125676478	0.730131578947368	0.135996258106836	38		chr11:125676359-125676478	-	1
TMEM218	TMEM218_125102132-125102302	0.307157894736842	0.0782817299231825	19		chr11:125102132-125102302	-	0
TMEM218	TMEM218_125102132-125102351	0.3471	0.107145695200507	20		chr11:125102132-125102351	-	0
TMEM218	TMEM218_125110644-125110746	0.454705882352941	0.107632339880889	17		chr11:125110644-125110746	-	0
IL10RA	IL10RA_117986607-117986813	0.633103448275862	0.052313726237127	58		chr11:117986607-117986813	+	0
IL10RA	IL10RA_117986684-117986813	0.626953846153846	0.0769501524464927	65		chr11:117986684-117986813	+	0
NNMT	NNMT_114296428-114296710	0.407714285714286	0.235261354161504	7		chr11:114296428-114296710	+	0
USP28	USP28_113852501-113852633	0.402163265306122	0.116847540791904	49		chr11:113852501-113852633	-	0
USP28	USP28_113874517-113874879	0.846454545454545	0.106990643917284	44		chr11:113874517-113874879	-	0
TMPRSS5	TMPRSS5_113699962-113700168	0.477815789473684	0.125937533907319	38		chr11:113699962-113700168	-	0
TMPRSS5	TMPRSS5_113700066-113700168	0.403571428571429	0.159783913957769	35		chr11:113700066-113700168	-	0
NCAM1	NCAM1_113242805-113242846	0.976652173913043	0.0836484030688475	23		chr11:113242805-113242846	+	1
NCAM1	NCAM1_113272933-113273048	0.221219512195122	0.0131691157545257	41		chr11:113272933-113273048	+	0
DDX55	DDX55_123605931-123605981	0.451875	0.126752862072137	24		chr12:123605931-123605981	+	0
DDX55	DDX55_123618669-123618837	0.374571428571428	0.134284264663674	14		chr12:123618669-123618837	+	0
LINC02552	LINC02552_104569048-104569131	0.5445	0.112429978208661	2		chr11:104569048-104569131	-	0
LINC02552	LINC02552_104572557-104572597	0.3225	0.0346482322781408	2		chr11:104572557-104572597	-	0
MYL6	MYL6_56159587-56159622	0.327103448275862	0.135533692391962	29		chr12:56159587-56159622	+	0
DNMT1	DNMT1_10218752-10218869	0.593454545454545	0.132663758152981	11		chr19:10218752-10218869	-	0
NDRG4	NDRG4_58500988-58501077	0.367428571428571	0.169024512169939	7		chr16:58500988-58501077	+	0
MTMR2	MTMR2_95882374-95882496	0.46275	0.094977816958939	8		chr11:95882374-95882496	-	0
MTMR2	MTMR2_95887612-95887759	0.540076923076923	0.0361765613311104	13		chr11:95887612-95887759	-	0
TMEM126A	TMEM126A_85650312-85650341	0.488716981132075	0.200650708499822	53		chr11:85650312-85650341	+	0
USP35	USP35_78205842-78206035	0.54175	0.222458048479558	4		chr11:78205842-78206035	+	0
AAMDC	AAMDC_77841019-77841060	0.314470588235294	0.0893851846222098	34		chr11:77841019-77841060	+	0
PAAF1	PAAF1_73886929-73887099	0.511	0.112893056054228	39		chr11:73886929-73887099	+	0
PAAF1	PAAF1_73887031-73887099	0.491675	0.141294090010145	40		chr11:73887031-73887099	+	0
PAAF1	PAAF1_73887040-73887099	0.465424242424242	0.154419483530866	33		chr11:73887040-73887099	+	0
FCHSD2	FCHSD2_72900257-72900328	0.203173913043478	0.00135489807449509	46		chr11:72900257-72900328	-	0
CERS5	CERS5_50132962-50134068	0.408084745762712	0.0865663564766425	59		chr12:50132962-50134068	-	0
SHANK2	SHANK2_70489328-70489348	0.962320754716981	0.0797620918214107	53		chr11:70489328-70489348	-	1
CTTN	CTTN_70421470-70421580	0.272176470588235	0.0533118599540919	17		chr11:70421470-70421580	+	0
AP003071.5	AP003071.5_69081400-69081499	0.333875	0.0957756865955924	8		chr11:69081400-69081499	+	0
AP003071.5	AP003071.5_69083945-69084016	0.3913	0.177758919138628	10		chr11:69083945-69084016	+	0
AP003071.5	AP003071.5_69135435-69135532	0.417857142857143	0.0747449632002687	7		chr11:69135435-69135532	+	0
NDUFS8	NDUFS8_68032152-68032209	0.31525	0.112173600578151	4		chr11:68032152-68032209	+	0
FAM86C2P	FAM86C2P_67799374-67799475	0.612217391304348	0.186221021301849	23		chr11:67799374-67799475	-	0
HYDIN	HYDIN_71066783-71066933	0.90025	0.111331212554651	28		chr16:71066783-71066933	-	0
SNX32	SNX32_65851055-65851160	0.30175	0.124341934465677	4		chr11:65851055-65851160	+	0
YIPF6	YIPF6_68510679-68510776	0.922921568627451	0.11100285458262	51		chrX:68510679-68510776	+	1
SAC3D1	SAC3D1_65043025-65043164	0.517054054054054	0.208789360353915	37		chr11:65043025-65043164	+	1
MAP4K2	MAP4K2_64790394-64790462	0.2585	0.0369014130585034	8		chr11:64790394-64790462	-	0
NRXN2	NRXN2_64651255-64651636	0.847	0.13717871555019	2		chr11:64651255-64651636	-	1
BEST1	BEST1_61958146-61958298	0.41092	0.123808292667872	25		chr11:61958146-61958298	+	0
MYRF	MYRF_61780712-61780792	0.455625	0.231267440493162	32		chr11:61780712-61780792	+	0
DAGLA	DAGLA_61735561-61735644	0.223166666666667	0.0269029118622254	6		chr11:61735561-61735644	+	0
TFDP1	TFDP1_113637620-113637896	0.340166666666667	0.109443911191851	12		chr13:113637620-113637896	+	0
ZNF573	ZNF573_37758476-37758596	0.57932	0.152383485544421	25		chr19:37758476-37758596	-	0
YPEL4	YPEL4_57646751-57646794	0.281333333333333	0.0802733425478815	15		chr11:57646751-57646794	-	0
GGA3	GGA3_75243063-75243258	0.239555555555556	0.0350931300652674	9		chr17:75243063-75243258	-	0
DGKZ	DGKZ_46366244-46366984	0.445	0.114551298552221	2		chr11:46366244-46366984	+	0
TP53I11	TP53I11_44939166-44939281	0.423333333333333	0.166689731737341	6		chr11:44939166-44939281	-	0
COASY	COASY_42564983-42565047	0.2948125	0.0927492812191376	16		chr17:42564983-42565047	+	0
C11orf74	C11orf74_36633284-36633438	0.380145454545455	0.156778260277447	55		chr11:36633284-36633438	+	0
CD59	CD59_33731424-33731468	0.241210526315789	0.0286367653111412	19		chr11:33731424-33731468	-	0
NUCB2	NUCB2_17286634-17286713	0.464903225806452	0.145806802502195	31		chr11:17286634-17286713	+	0
NUCB2	NUCB2_17286634-17286717	0.477739130434783	0.116028294899957	23		chr11:17286634-17286717	+	0
STK33	STK33_8477250-8477283	0.601714285714286	0.151704443228398	7		chr11:8477250-8477283	-	0
PPFIBP2	PPFIBP2_7641033-7641065	0.4228125	0.0315261838153216	48		chr11:7641033-7641065	+	0
CYP2D8P	CYP2D8P_42150755-42150939	0.642333333333333	0.150001111106996	3		chr22:42150755-42150939	-	0
NAP1L4	NAP1L4_2988077-2988126	0.4135	0.0523161542929141	26		chr11:2988077-2988126	-	0
KCNQ1	KCNQ1_2585212-2585307	0.389	0.127798017720673	7		chr11:2585212-2585307	+	0
CHID1	CHID1_869214-869345	0.553705882352941	0.160734938915705	17		chr11:869214-869345	-	0
CD151	CD151_834458-834591	0.356510204081633	0.0925981736791147	49		chr11:834458-834591	+	0
CD151	CD151_834530-834591	0.3121	0.114005802821273	40		chr11:834530-834591	+	0
