samples	PSI	Group
BS_JG9JZTA9	0.733	Medium
BS_M8EA6R2A	0.711	Medium
BS_JGPR9SR2	0.885	Medium
BS_JKXA3FQC	0.951	Medium
BS_JMHG7GCN	0.813	Medium
BS_MN5XVP5A	0.913	Medium
BS_JWCX8R17	0.776	Medium
BS_JX449BF5	0.734	Medium
BS_MWWZBQ60	0.956	Medium
BS_K25F4J3V	0.844	Medium
BS_K5802F84	0.786	Medium
BS_K7MVS0Z7	0.816	Medium
BS_N6N147BY	0.763	Medium
BS_KBT7MQ6H	0.889	Medium
BS_KDSTG5YY	0.876	Medium
BS_KE56MMY0	0.888	Medium
BS_KEA474HN	0.844	Medium
BS_KF0ZXDER	0.913	Medium
BS_KK5C8VCK	0.879	Medium
BS_YNEQJ6AH	0.736	Medium
BS_KND4B5CW	0.972	Medium
BS_KR4MP5ET	0.97	Medium
BS_KSKZ9J7J	0.821	Medium
BS_KX6J8TRK	0.803	Medium
BS_ZZPBANDD	0.872	Medium
BS_KXMYBQ6N	0.857	Medium
BS_NR3P3GN2	0.903	Medium
BS_M026T44Q	0.951	Medium
BS_M4923M40	0.968	Medium
BS_PKW05VZV	0.788	Medium
BS_M7QJ8VF0	0.926	Medium
BS_M8M56Z4Y	0.713	Medium
BS_M8WP5T16	0.86	Medium
BS_M9C4RY4P	0.883	Medium
BS_39CGACC7	0.926	Medium
BS_MBSTWZA6	0.941	Medium
BS_NT9NZYFD	0.919	Medium
BS_MF9X3PKH	0.898	Medium
BS_MGAMKKBD	0.892	Medium
BS_MKP2Y41Z	0.92	Medium
BS_MM20BVW9	0.732	Medium
BS_MMNRZ1EQ	0.859	Medium
BS_MV6ASWV9	0.835	Medium
BS_4W1DBAN4	0.905	Medium
BS_QB84TBA3	0.993	Medium
BS_MY9D8XZ1	0.886	Medium
BS_N0877CX1	0.856	Medium
BS_N1E0H8YQ	0.901	Medium
BS_N210XMKR	0.818	Medium
BS_N5B2CZMH	0.786	Medium
BS_N5DVEJXT	0.817	Medium
BS_N6NE6B3W	0.833	Medium
BS_PQ6QEVE8	0.798	Medium
BS_NB42PWZN	0.806	Medium
BS_NB5XWMJT	0.83	Medium
BS_NDC69214	0.812	Medium
BS_NDFDQBCZ	0.806	Medium
BS_NDN62H0S	0.921	Medium
BS_QV51J756	0.788	Medium
BS_NGHK9RZP	0.715	Medium
BS_NGY0TE6S	0.86	Medium
BS_RGSMX7QD	0.888	Medium
BS_NJ4WPQVK	0.864	Medium
BS_QWTE1CWR	0.885	Medium
BS_NQB91P48	0.883	Medium
BS_R5SNFB5B	0.778	Medium
BS_NR9FRY5T	0.725	Medium
BS_NRFQEQKP	0.916	Medium
BS_NRPG5K4K	0.729	Medium
BS_RVSEDNJ4	0.97	Medium
BS_NYS8TRCB	0.882	Medium
BS_P39SQPTS	0.724	Medium
BS_P4D8Y3S8	0.838	Medium
BS_RCCN63K6	0.818	Medium
BS_P78SMRBS	0.971	Medium
BS_P7EY9DXG	0.841	Medium
BS_PEP9NZXN	0.788	Medium
BS_PGHK1JRW	0.872	Medium
BS_PK18H7E7	0.721	Medium
BS_S2TA8R29	0.952	Medium
BS_S5P8VTN5	0.967	Medium
BS_S6S7SK3P	0.965	Medium
BS_PRR8K9GE	0.946	Medium
BS_SD8YBRBR	0.923	Medium
BS_Q2T9ZRM0	0.971	Medium
BS_Q5WZYWCT	0.986	Medium
BS_Q79NP5YY	0.893	Medium
BS_Q9V7A95C	0.736	Medium
BS_QAG1RDXN	0.783	Medium
BS_QB7YGKN1	0.713	Medium
BS_QBR4WCQ2	0.764	Medium
BS_QC3XCE6X	0.784	Medium
BS_QHS3V0GP	0.826	Medium
BS_QRNSKFMS	0.927	Medium
BS_QSTAVWGE	0.887	Medium
BS_QT3NZ2YZ	0.778	Medium
BS_QTSXW7DA	0.915	Medium
BS_TJTEF70D	0.736	Medium
BS_TK84K675	0.976	Medium
BS_QX12J6W1	0.918	Medium
BS_TM9MH0RP	0.883	Medium
BS_QZFEB94Q	0.857	Medium
BS_R13X6TMW	0.744	Medium
BS_TRKH2SPE	0.857	Medium
BS_R244Z0WX	0.748	Medium
BS_R634WKN7	0.956	Medium
BS_R7HZCZ8B	0.899	Medium
BS_TXZ7KHTQ	0.777	Medium
BS_RB2S0KDF	0.791	Medium
BS_V3Z3DB4N	0.869	Medium
BS_RFMQ7T0T	0.965	Medium
BS_VF5XWFXD	0.929	Medium
BS_RRAEQZ97	0.847	Medium
BS_VMMJYN8Z	0.823	Medium
BS_VMQMGSJY	0.768	Medium
BS_VVTHDRBD	0.955	Medium
BS_S0175QKX	0.946	Medium
BS_S1KK7XRH	0.736	Medium
BS_S4V9E1XJ	0.834	Medium
BS_S6NJRR5W	0.887	Medium
BS_S71RJ8DH	0.759	Medium
BS_W60RQAKK	0.991	Medium
BS_S7CZY2CH	0.901	Medium
BS_W97QQYKQ	0.708	Medium
BS_SDCNP7MW	0.941	Medium
BS_SDZY6RZ3	0.777	Medium
BS_SFKZSJN1	0.828	Medium
BS_WJ9H4NZZ	0.939	Medium
BS_SXCZ3CXN	0.878	Medium
BS_SXRS2P6T	0.739	Medium
BS_WRQHPSXQ	0.853	Medium
BS_T0RKFEKR	0.921	Medium
BS_T1DVKKJB	0.875	Medium
BS_T1W4JA94	0.754	Medium
BS_T2QPMZCM	0.786	Medium
BS_WKESC3XN	0.991	Medium
BS_T4JFN54G	0.749	Medium
BS_TBWYAFSM	0.967	Medium
BS_TGW6HC4X	0.78	Medium
BS_X23724NJ	0.87	Medium
BS_TMTV769C	0.85	Medium
BS_TQ5QHR17	0.721	Medium
BS_XG0DBWVT	0.91	Medium
BS_TXY8QYWA	0.847	Medium
BS_V0Q1G94N	0.928	Medium
BS_VAAHBH60	0.907	Medium
BS_VARR255N	0.975	Medium
BS_MA1A3GY0	0.71	Medium
BS_VNK9XYV9	0.821	Medium
BS_VNWKNRY4	0.87	Medium
BS_VP3C8WZT	0.795	Medium
BS_VP5Y45Z7	0.906	Medium
BS_VPNXJE2S	0.864	Medium
BS_VW85Q4XJ	0.849	Medium
BS_VXHWZJDC	0.736	Medium
BS_W36RZSFA	0.756	Medium
BS_W3R88RFP	0.935	Medium
BS_W41S7B55	0.922	Medium
BS_Z8F3GM85	0.794	Medium
BS_W4HGV6E7	0.937	Medium
BS_Z8YZ6QGS	0.71	Medium
BS_W6AC5J3C	0.814	Medium
BS_W72364MN	0.934	Medium
BS_W80TJC27	0.82	Medium
BS_WCRKYV0T	0.756	Medium
BS_WG203ECV	0.758	Medium
BS_WGK8ZMVA	0.784	Medium
BS_ZVWE73JZ	0.86	Medium
BS_WJGFDRWK	0.955	Medium
BS_WMEHNDSK	0.748	Medium
BS_WRHDP7WF	0.846	Medium
BS_ME3HKN2C	0.706	Medium
BS_WV0S8N4M	0.742	Medium
BS_WVS02TZK	0.814	Medium
BS_WWKNJSJ5	0.964	Medium
BS_WYG77VVP	0.852	Medium
BS_X0F9AYEC	0.787	Medium
BS_X16PENSA	0.809	Medium
BS_X67GTEM6	0.902	Medium
BS_X9EGD530	0.804	Medium
BS_XBQZYS8G	0.805	Medium
BS_XF0ZX2B3	0.886	Medium
BS_XHCYEE2S	0.842	Medium
BS_VNE0ZPBS	0.857	Medium
BS_XKKB4MZV	0.713	Medium
BS_XQYHPBFS	0.823	Medium
BS_XZTV0J8W	0.844	Medium
BS_Y0PCBNJV	0.829	Medium
BS_Y3G1X98S	0.748	Medium
BS_YA8RBGD8	0.715	Medium
BS_YB07VF1X	0.884	Medium
BS_YB2RXRHT	0.73	Medium
BS_YBJBSRHV	0.909	Medium
BS_YE1MAQYJ	0.871	Medium
BS_YEQVW4ND	0.72	Medium
BS_YH05F9DB	0.921	Medium
BS_W18SF91A	0.823	Medium
BS_YMAJC22S	0.747	Medium
BS_XJTW0P8P	0.821	Medium
BS_YY5B2XDD	0.874	Medium
BS_Z0AVVB1V	0.799	Medium
BS_Z1A875MW	0.888	Medium
BS_Z28VKGNS	0.86	Medium
BS_Z2NWPQKF	0.874	Medium
BS_Z6BWR941	0.759	Medium
BS_Z7G68ZS2	0.712	Medium
BS_Z7Y2466H	0.961	Medium
BS_Z85M2R3N	0.977	Medium
BS_Z9ZS6ZS2	0.79	Medium
BS_ZF34SJGN	0.892	Medium
BS_ZH1FBX50	0.798	Medium
BS_2XD3MNKD	0.714	Medium
BS_ZHHAM3AN	0.792	Medium
BS_ZJZXDPTP	0.955	Medium
BS_ZN8136D9	0.972	Medium
BS_NFRXNAFE	0.865	Medium
BS_ZV9Z3SY6	0.932	Medium
BS_ZVX2GRD6	0.88	Medium
BS_ZWR9W4FX	0.842	Medium
BS_09Z7TC35	0.765	Medium
BS_1AYRM596	0.916	Medium
BS_1BWP5MCT	0.865	Medium
BS_1QXEC43H	0.964	Medium
BS_1TWCV047	0.891	Medium
BS_2SFTWNVE	0.827	Medium
BS_3MYEMXPQ	0.792	Medium
BS_3NWQXPQV	0.738	Medium
BS_3V3KE3VT	0.729	Medium
BS_44A3ES23	0.756	Medium
BS_4PH1MBGR	0.886	Medium
BS_4W68NV3M	0.821	Medium
BS_5PJCHF6V	0.715	Medium
BS_61E80SD6	0.897	Medium
BS_77317DY4	0.774	Medium
BS_7C40TRCY	0.858	Medium
BS_7FWZ518S	0.786	Medium
BS_8GW1TMV2	0.921	Medium
BS_9NJHQE9F	0.769	Medium
BS_9NZ2D6AD	0.75	Medium
BS_9PB3XH5D	0.916	Medium
BS_9V633J1X	0.768	Medium
BS_A14Z8BBK	0.879	Medium
BS_AHEFXG7W	0.751	Medium
BS_AMZ70B6F	0.791	Medium
BS_BA6AZWB3	0.844	Medium
BS_BVSW4GTG	0.8	Medium
BS_D144EJRQ	0.803	Medium
BS_DFWFBYSN	0.926	Medium
BS_E3BAT4C1	0.78	Medium
BS_EFE4YEK3	0.937	Medium
BS_ERWT0ZWE	0.867	Medium
BS_FCAKKZ20	0.853	Medium
BS_FKDQJJB5	0.778	Medium
BS_GCQFGDTX	0.929	Medium
BS_GNV89A5P	0.822	Medium
BS_GS1KR5PK	0.936	Medium
BS_H4B5Y6S0	0.87	Medium
BS_HD4EJYE3	0.889	Medium
BS_HE57E1RP	0.793	Medium
BS_HF3RNN2T	0.864	Medium
BS_HHPA8NJ2	0.748	Medium
BS_HKZENFDA	0.804	Medium
BS_HTEPAKCM	0.917	Medium
BS_HZE3KYZ1	0.845	Medium
BS_HZRM07TW	0.92	Medium
BS_J71N7D09	0.728	Medium
BS_JR5ATB7G	0.97	Medium
BS_JT82QGXF	0.932	Medium
BS_K81DR8XG	0.943	Medium
BS_KN92S7YQ	0.964	Medium
BS_KYF0Q0E7	0.795	Medium
BS_N4B1SZZH	0.949	Medium
BS_NKEAAFMW	0.935	Medium
BS_NKRYMHEP	0.784	Medium
BS_NZ71XCG3	0.843	Medium
BS_QEYPFYHD	0.926	Medium
BS_QPPPGYP4	0.933	Medium
BS_QRDT19KS	0.872	Medium
BS_QWNBZ9RJ	0.92	Medium
BS_RCC8BXVE	0.714	Medium
BS_RD4D5F9F	0.781	Medium
BS_RSRPX3S8	0.876	Medium
BS_S1M423AB	0.909	Medium
BS_S69QZAJR	0.868	Medium
BS_SKGJ5SY9	0.801	Medium
BS_TA9WP4TH	0.773	Medium
BS_TE0GVDNG	0.878	Medium
BS_TYAYZ9ZW	0.837	Medium
BS_TZVFR600	0.884	Medium
BS_V72H4RQS	0.852	Medium
BS_V96WVE3Z	0.959	Medium
BS_V9HVBBDW	0.962	Medium
BS_VA5T4KAA	0.748	Medium
BS_VJVDJABP	0.816	Medium
BS_VMEX27TN	0.899	Medium
BS_VPBMDMQX	0.849	Medium
BS_VT6C6N6K	0.883	Medium
BS_VVFBW0YH	0.752	Medium
BS_W311713R	0.843	Medium
BS_W9AT0MR7	0.892	Medium
BS_WH5HDE0A	0.812	Medium
BS_Y8D1F5WW	0.901	Medium
BS_YEB88D32	0.864	Medium
BS_Z45HD492	0.772	Medium
BS_Z7PKVY9J	0.885	Medium
BS_ZV68CES9	0.71	Medium
BS_ZXYDSBM9	0.822	Medium
BS_0VXZCRJS	0.96	Medium
BS_0ZA67BBC	0.924	Medium
BS_1N7MQZGR	0.806	Medium
BS_21ET39G7	0.905	Medium
BS_49CJNZ06	0.776	Medium
BS_4PPHAQXF	0.927	Medium
BS_4PWDGEB0	0.706	Medium
BS_58YXHGAJ	0.844	Medium
BS_5VPM0F36	0.888	Medium
BS_6M2053M0	0.831	Medium
BS_8ZY4GST0	0.949	Medium
BS_BMMY0H73	0.822	Medium
BS_BYCX6VK1	0.736	Medium
BS_C83TK159	0.904	Medium
BS_F0JB4EAK	0.918	Medium
BS_FCDAH728	0.941	Medium
BS_GWSJ4Z9H	0.894	Medium
BS_H97S5SQN	0.957	Medium
BS_HWGWYCY7	0.788	Medium
BS_JB43XBCQ	0.888	Medium
BS_KBEX4RT2	0.821	Medium
BS_JGA9BP3A	0.729	Medium
BS_NEVYM2FP	0.974	Medium
BS_NGSG2KB6	0.962	Medium
BS_QNNX91SM	0.97	Medium
BS_R7NTZR4C	0.744	Medium
BS_R9B92M75	0.965	Medium
BS_RX1YTZ7F	0.906	Medium
BS_SNVM7CZT	0.9	Medium
BS_QKT3TJVK	0.902	Medium
BS_W1385R8Y	0.753	Medium
BS_W4H1D4Y6	0.895	Medium
BS_W7MFJZ5A	0.98	Medium
BS_X0XXN9BK	0.826	Medium
BS_X4DD4KSZ	0.794	Medium
BS_XGDPK33A	0.918	Medium
BS_XZM79E42	0.828	Medium
BS_YDEVMD24	0.913	Medium
BS_Z3RCA1T9	0.925	Medium
BS_ZD5HN296	0.95	Medium
BS_ZF6BSFNF	0.886	Medium
BS_ZQ76ZBEX	0.771	Medium
BS_ZQKGJD70	0.73	Medium
