splicing_case	sample_id	control_id	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
RI	BS_HQ5BJ6MW	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	148	10	NA	NA	300	150	NA	NA	0.8809999999999999	NA	NA
SE	BS_HQ5BJ6MW	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	535	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_HQ5BJ6MW	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	575	10	NA	NA	241	150	NA	NA	0.973	NA	NA
SE	BS_HQ5BJ6MW	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	646	2	NA	NA	300	150	NA	NA	0.9940000000000001	NA	NA
RI	BS_FAVRBEW7	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	54	379	NA	NA	300	150	NA	NA	0.067	NA	NA
RI	BS_FAVRBEW7	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	117	29	NA	NA	300	150	NA	NA	0.669	NA	NA
SE	BS_FAVRBEW7	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	337	2	NA	NA	230	150	NA	NA	0.991	NA	NA
SE	BS_FAVRBEW7	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	975	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_FAVRBEW7	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	1538	29	NA	NA	241	150	NA	NA	0.971	NA	NA
SE	BS_FAVRBEW7	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	1602	3	NA	NA	300	150	NA	NA	0.996	NA	NA
A3SS	BS_3NWQXPQV	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	279	2	NA	NA	300	150	NA	NA	0.986	NA	NA
RI	BS_3NWQXPQV	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	37	144	NA	NA	300	150	NA	NA	0.114	NA	NA
RI	BS_3NWQXPQV	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	136	49	NA	NA	300	150	NA	NA	0.581	NA	NA
RI	BS_5GNQC2FF	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	23	177	NA	NA	300	150	NA	NA	0.061	NA	NA
RI	BS_5GNQC2FF	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	138	184	NA	NA	300	150	NA	NA	0.273	NA	NA
SE	BS_5GNQC2FF	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	447	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_5GNQC2FF	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	43	184	NA	NA	241	150	NA	NA	0.127	NA	NA
SE	BS_5GNQC2FF	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	617	4	NA	NA	300	150	NA	NA	0.987	NA	NA
A3SS	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	626	2	NA	NA	300	150	NA	NA	0.9940000000000001	NA	NA
A5SS	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200857717	200857884	200856681	200856811	781	4	NA	NA	300	150	NA	NA	0.99	NA	NA
MXE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	361	404	NA	NA	233	230	NA	NA	0.469	NA	NA
MXE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200856890	200856985	200857717	200857884	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	586	553	NA	NA	300	245	NA	NA	0.46399999999999997	NA	NA
RI	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	89	498	NA	NA	300	150	NA	NA	0.08199999999999999	NA	NA
RI	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	213	76	NA	NA	300	150	NA	NA	0.584	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	994	4	NA	NA	230	150	NA	NA	0.9940000000000001	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	939	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200857717	200857884	NA	NA	NA	NA	NA	NA	1049	4	NA	NA	245	150	NA	NA	0.9940000000000001	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	1080	2	NA	NA	300	150	NA	NA	0.996	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200857972	200858089	NA	NA	NA	NA	NA	NA	200856890	200856985	200859679	200859746	NA	NA	NA	NA	NA	NA	604	1	NA	NA	267	150	NA	NA	0.997	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	930	76	NA	NA	241	150	NA	NA	0.884	NA	NA
SE	BS_ZF34SJGN	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	1195	5	NA	NA	300	150	NA	NA	0.992	NA	NA
MXE	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	72	98	NA	NA	233	230	NA	NA	0.42	NA	NA
RI	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	58	129	NA	NA	300	150	NA	NA	0.184	NA	NA
RI	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	143	15	NA	NA	300	150	NA	NA	0.8270000000000001	NA	NA
SE	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	312	2	NA	NA	230	150	NA	NA	0.99	NA	NA
SE	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	285	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	204	15	NA	NA	241	150	NA	NA	0.894	NA	NA
SE	BS_SHMC4902	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	579	2	NA	NA	300	150	NA	NA	0.993	NA	NA
A5SS	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200857717	200857884	200856681	200856811	638	59	NA	NA	300	150	NA	NA	0.8440000000000001	NA	NA
RI	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	622	323	NA	NA	300	150	NA	NA	0.491	NA	NA
RI	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	633	4	NA	NA	300	150	NA	NA	0.988	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200853902	200853993	NA	NA	NA	NA	NA	NA	200853008	200853449	200856681	200856811	NA	NA	NA	NA	NA	NA	582	1	NA	NA	241	150	NA	NA	0.997	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	615	6	NA	NA	230	150	NA	NA	0.985	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	852	2	NA	NA	233	150	NA	NA	0.996	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200857717	200857884	NA	NA	NA	NA	NA	NA	587	59	NA	NA	245	150	NA	NA	0.8590000000000001	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200857972	200858089	NA	NA	NA	NA	NA	NA	200856890	200857884	200859679	200859746	NA	NA	NA	NA	NA	NA	1517	6	NA	NA	267	150	NA	NA	0.993	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	1411	4	NA	NA	241	150	NA	NA	0.995	NA	NA
SE	BS_WH8G4VFB	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	1662	19	NA	NA	300	150	NA	NA	0.978	NA	NA
A3SS	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	210	1	NA	NA	300	150	NA	NA	0.991	NA	NA
RI	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	14	8	NA	NA	300	150	NA	NA	0.467	NA	NA
RI	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	109	41	NA	NA	300	150	NA	NA	0.5710000000000001	NA	NA
SE	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	211	1	NA	NA	233	150	NA	NA	0.993	NA	NA
SE	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	204	1	NA	NA	300	150	NA	NA	0.99	NA	NA
SE	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	136	41	NA	NA	241	150	NA	NA	0.674	NA	NA
SE	BS_9E7YVFJM	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	407	7	NA	NA	300	150	NA	NA	0.9670000000000001	NA	NA
A3SS	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	296	4	NA	NA	300	150	NA	NA	0.9740000000000001	NA	NA
RI	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	7	231	NA	NA	300	150	NA	NA	0.015	NA	NA
RI	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	26	16	NA	NA	300	150	NA	NA	0.44799999999999995	NA	NA
SE	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	441	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	523	4	NA	NA	300	150	NA	NA	0.985	NA	NA
SE	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	752	16	NA	NA	241	150	NA	NA	0.9670000000000001	NA	NA
SE	BS_S5P8VTN5	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	713	0	NA	NA	300	150	NA	NA	1	NA	NA
RI	BS_9P9MB8X8	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	51	337	NA	NA	300	150	NA	NA	0.07	NA	NA
RI	BS_9P9MB8X8	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	232	33	NA	NA	300	150	NA	NA	0.779	NA	NA
SE	BS_9P9MB8X8	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	619	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_9P9MB8X8	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	626	33	NA	NA	241	150	NA	NA	0.922	NA	NA
SE	BS_9P9MB8X8	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	973	0	NA	NA	300	150	NA	NA	1	NA	NA
RI	BS_W97QQYKQ	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	38	75	NA	NA	300	150	NA	NA	0.20199999999999999	NA	NA
RI	BS_W97QQYKQ	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	118	41	NA	NA	300	150	NA	NA	0.59	NA	NA
SE	BS_W97QQYKQ	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	367	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_W97QQYKQ	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	179	41	NA	NA	241	150	NA	NA	0.731	NA	NA
SE	BS_W97QQYKQ	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	482	2	NA	NA	300	150	NA	NA	0.992	NA	NA
A3SS	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	537	3	NA	NA	300	150	NA	NA	0.9890000000000001	NA	NA
A5SS	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200857717	200857884	200856681	200856811	505	2	NA	NA	300	150	NA	NA	0.992	NA	NA
MXE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200856890	200856985	200857717	200857884	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	488	331	NA	NA	300	245	NA	NA	0.546	NA	NA
RI	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	82	322	NA	NA	300	150	NA	NA	0.113	NA	NA
RI	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	211	148	NA	NA	300	150	NA	NA	0.41600000000000004	NA	NA
SE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	592	1	NA	NA	233	150	NA	NA	0.997	NA	NA
SE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200857717	200857884	NA	NA	NA	NA	NA	NA	650	2	NA	NA	245	150	NA	NA	0.995	NA	NA
SE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	808	3	NA	NA	300	150	NA	NA	0.993	NA	NA
SE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	200857972	200858089	NA	NA	NA	NA	NA	NA	200856890	200856985	200859679	200859746	NA	NA	NA	NA	NA	NA	405	1	NA	NA	267	150	NA	NA	0.996	NA	NA
SE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	407	148	NA	NA	241	150	NA	NA	0.631	NA	NA
SE	BS_9M5XJ10G	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	980	11	NA	NA	300	150	NA	NA	0.978	NA	NA
A3SS	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	149	2	NA	NA	300	150	NA	NA	0.9740000000000001	NA	NA
RI	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	28	59	NA	NA	300	150	NA	NA	0.192	NA	NA
RI	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	94	15	NA	NA	300	150	NA	NA	0.758	NA	NA
SE	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	142	1	NA	NA	233	150	NA	NA	0.9890000000000001	NA	NA
SE	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	186	2	NA	NA	300	150	NA	NA	0.9790000000000001	NA	NA
SE	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	100	15	NA	NA	241	150	NA	NA	0.8059999999999999	NA	NA
SE	BS_QV51J756	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	388	2	NA	NA	300	150	NA	NA	0.99	NA	NA
A3SS	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	466	4	NA	NA	300	150	NA	NA	0.983	NA	NA
RI	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	39	239	NA	NA	300	150	NA	NA	0.075	NA	NA
RI	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	145	62	NA	NA	300	150	NA	NA	0.539	NA	NA
SE	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	147	2	NA	NA	230	150	NA	NA	0.98	NA	NA
SE	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	350	2	NA	NA	233	150	NA	NA	0.991	NA	NA
SE	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	679	4	NA	NA	300	150	NA	NA	0.988	NA	NA
SE	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	354	62	NA	NA	241	150	NA	NA	0.78	NA	NA
SE	BS_7FWZ518S	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	605	1	NA	NA	300	150	NA	NA	0.997	NA	NA
RI	BS_6MY8W3H0	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	8	105	NA	NA	300	150	NA	NA	0.037000000000000005	NA	NA
RI	BS_6MY8W3H0	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	56	10	NA	NA	300	150	NA	NA	0.737	NA	NA
SE	BS_6MY8W3H0	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	173	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_6MY8W3H0	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	145	10	NA	NA	241	150	NA	NA	0.9	NA	NA
SE	BS_6MY8W3H0	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	267	4	NA	NA	300	150	NA	NA	0.971	NA	NA
A5SS	BS_S6S7SK3P	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200857717	200857884	200856681	200856811	1463	75	NA	NA	300	150	NA	NA	0.907	NA	NA
